iso_code,GDLCODE,Nr_individuals,Nr_households,Data_Availability
BFA,BFAr109,1898148,337208,IPUMS/DHS: survey + marginals (24)
BFA,BFAr110,1332790,210656,IPUMS/DHS: survey + marginals (24)
BFA,BFAr111,849529,134769,IPUMS/DHS: survey + marginals (24)
BFA,BFAr112,1337512,254325,IPUMS/DHS: survey + marginals (24)
BFA,BFAr113,755581,127869,IPUMS/DHS: survey + marginals (24)
BGD,BGDr201,6346368,1449712,IPUMS/DHS: survey + marginals (24)
BGD,BGDr202,4022793,915781,IPUMS/DHS: survey + marginals (24)
BGD,BGDr203,8838254,1803169,IPUMS/DHS: survey + marginals (24)
BGD,BGDr204,2839142,582261,IPUMS/DHS: survey + marginals (24)
BGD,BGDr205,2535194,521431,IPUMS/DHS: survey + marginals (24)
BGD,BGDr206,6256707,1279532,IPUMS/DHS: survey + marginals (24)
BGD,BGDr207,9849444,2005837,IPUMS/DHS: survey + marginals (24)
BGD,BGDr208,13489656,3141971,IPUMS/DHS: survey + marginals (24)
BGD,BGDr209,8245758,1925132,IPUMS/DHS: survey + marginals (24)
BGD,BGDr210,8872498,2073852,IPUMS/DHS: survey + marginals (24)
BGD,BGDr211,9827280,2293387,IPUMS/DHS: survey + marginals (24)
BGD,BGDr212,8106870,1895676,IPUMS/DHS: survey + marginals (24)
BGD,BGDr213,5219651,1218250,IPUMS/DHS: survey + marginals (24)
BGD,BGDr214,5409455,1304426,IPUMS/DHS: survey + marginals (24)
BGD,BGDr215,4146861,1000438,IPUMS/DHS: survey + marginals (24)
BGD,BGDr216,5412489,1305687,IPUMS/DHS: survey + marginals (24)
BGD,BGDr217,5683820,1397620,IPUMS/DHS: survey + marginals (24)
BGD,BGDr218,5680268,1397201,IPUMS/DHS: survey + marginals (24)
BGD,BGDr219,5946144,1460986,IPUMS/DHS: survey + marginals (24)
BGD,BGDr220,8935377,2193836,IPUMS/DHS: survey + marginals (24)
BGD,BGDr221,6262332,1539028,IPUMS/DHS: survey + marginals (24)
BGD,BGDr222,6381915,1199733,IPUMS/DHS: survey + marginals (24)
BGD,BGDr223,5972401,1122883,IPUMS/DHS: survey + marginals (24)
BGR,BGRr101,790489,225898,No data (105)
BGR,BGRr102,820474,254537,No data (105)
BGR,BGRr103,947149,297612,No data (105)
BGR,BGRr104,1055577,315527,No data (105)
BGR,BGRr105,2123347,858082,No data (105)
BGR,BGRr106,1440986,437375,No data (105)
BHR,BHRt,1371882,546319,No data (105)
BHS,BHSt,374220,121286,No data (105)
BIH,BIHr101,337639,93535,No data (105)
BIH,BIHr102,544628,150338,No data (105)
BIH,BIHr103,1095190,308084,No data (105)
BIH,BIHr104,345008,102863,No data (105)
BIH,BIHr105,1106430,307345,No data (105)
BLR,BLRr101,1451694,461793,No data (105)
BLR,BLRr102,1262645,417208,No data (105)
BLR,BLRr103,1429574,472095,No data (105)
BLR,BLRr104,1056524,352914,No data (105)
BLR,BLRr105,3194290,1142699,No data (105)
BLR,BLRr106,1095711,346457,No data (105)
BLZ,BLZr101,101892,25243,No data (105)
BLZ,BLZr102,103908,28150,No data (105)
BLZ,BLZr103,36175,8459,No data (105)
BLZ,BLZr104,118983,31058,No data (105)
BOL,BOLr101,661425,185822,IPUMS/DHS: survey + marginals (24)
BOL,BOLr102,3150846,1037661,IPUMS/DHS: survey + marginals (24)
BOL,BOLr103,1992182,608508,IPUMS/DHS: survey + marginals (24)
BOL,BOLr104,590873,191471,IPUMS/DHS: survey + marginals (24)
BOL,BOLr105,1082582,334350,IPUMS/DHS: survey + marginals (24)
BOL,BOLr106,494546,139508,IPUMS/DHS: survey + marginals (24)
BOL,BOLr107,2299099,607729,IPUMS/DHS: survey + marginals (24)
BOL,BOLr108,364876,88280,IPUMS/DHS: survey + marginals (24)
BOL,BOLr109,63999,16247,IPUMS/DHS: survey + marginals (24)
BRA,BRAr101,1658031,549580,LIS: survey + marginals (38)
BRA,BRAr102,758936,225562,LIS: survey + marginals (38)
BRA,BRAr103,3702475,1049728,LIS: survey + marginals (38)
BRA,BRAr104,488876,142753,LIS: survey + marginals (38)
BRA,BRAr105,8207629,2429407,LIS: survey + marginals (38)
BRA,BRAr106,672864,187914,LIS: survey + marginals (38)
BRA,BRAr107,1512947,501953,LIS: survey + marginals (38)
BRA,BRAr108,6978899,2055008,LIS: survey + marginals (38)
BRA,BRAr109,3256946,1076015,LIS: survey + marginals (38)
BRA,BRAr110,9252274,2990319,LIS: survey + marginals (38)
BRA,BRAr111,3366078,1086985,LIS: survey + marginals (38)
BRA,BRAr112,4059134,1352344,LIS: survey + marginals (38)
BRA,BRAr113,9500000,3235229,LIS: survey + marginals (38)
BRA,BRAr114,3238576,1073511,LIS: survey + marginals (38)
BRA,BRAr115,2221026,754523,LIS: survey + marginals (38)
BRA,BRAr116,15035205,5145839,LIS: survey + marginals (38)
BRA,BRAr117,20829985,7359676,LIS: survey + marginals (38)
BRA,BRAr118,3739398,1325491,LIS: survey + marginals (38)
BRA,BRAr119,17375869,6404980,LIS: survey + marginals (38)
BRA,BRAr120,44181207,15291015,LIS: survey + marginals (38)
BRA,BRAr121,11280770,3945283,LIS: survey + marginals (38)
BRA,BRAr122,6683904,2405138,LIS: survey + marginals (38)
BRA,BRAr123,11473034,4233779,LIS: survey + marginals (38)
BRA,BRAr124,2639995,921673,LIS: survey + marginals (38)
BRA,BRAr125,3191010,1084916,LIS: survey + marginals (38)
BRA,BRAr126,6341155,2192173,LIS: survey + marginals (38)
BRA,BRAr127,2821512,997866,LIS: survey + marginals (38)
BRB,BRBr101,87668,27719,No data (105)
BRB,BRBr102,76919,25681,No data (105)
BRB,BRBr103,54617,18656,No data (105)
BRB,BRBr104,66043,20997,No data (105)
BRN,BRNt,415072,153117,No data (105)
BTN,BTNr101,17347,4093,No data (105)
BTN,BTNr102,74216,18065,No data (105)
BTN,BTNr103,27485,6207,No data (105)
BTN,BTNr104,5248,1109,No data (105)
BTN,BTNr105,14183,3541,No data (105)
BTN,BTNr106,16906,3858,No data (105)
BTN,BTNr107,51262,11649,No data (105)
BTN,BTNr108,40820,10481,No data (105)
BTN,BTNr109,28432,6467,No data (105)
BTN,BTNr110,27526,6551,No data (105)
BTN,BTNr111,42121,9593,No data (105)
BTN,BTNr112,81414,18502,No data (105)
BTN,BTNr113,44586,11088,No data (105)
BTN,BTNr114,90545,26667,No data (105)
BTN,BTNr115,56903,12660,No data (105)
BTN,BTNr116,18517,4160,No data (105)
BTN,BTNr117,16313,3716,No data (105)
BTN,BTNr118,23851,5528,No data (105)
BTN,BTNr119,30731,6953,No data (105)
BTN,BTNr120,19452,4455,No data (105)
BWA,BWAr101,665577,161402,No data (105)
BWA,BWAr102,46011,10983,No data (105)
BWA,BWAr103,53931,13133,No data (105)
BWA,BWAr104,97190,25446,No data (105)
BWA,BWAr105,321722,79395,No data (105)
BWA,BWAr106,167035,44011,No data (105)
BWA,BWAr107,158353,38057,No data (105)
BWA,BWAr108,359652,109818,No data (105)
BWA,BWAr109,228101,56245,No data (105)
BWA,BWAr110,24733,6041,No data (105)
CAF,CAFr101,1048315,199583,No data (105)
CAF,CAFr102,787486,150784,No data (105)
CAF,CAFr103,921296,177526,No data (105)
CAF,CAFr104,359698,69499,No data (105)
CAF,CAFr105,513166,99246,No data (105)
CAF,CAFr106,862745,181089,No data (105)
CAN,CANr101,526984,225373,LIS: survey + marginals (38)
CAN,CANr102,145975,60509,LIS: survey + marginals (38)
CAN,CANr103,939099,414733,LIS: survey + marginals (38)
CAN,CANr104,751855,330877,LIS: survey + marginals (38)
CAN,CANr105,8232742,3626999,LIS: survey + marginals (38)
CAN,CANr106,13753432,5378340,LIS: survey + marginals (38)
CAN,CANr107,1292019,519141,LIS: survey + marginals (38)
CAN,CANr108,1127674,465118,LIS: survey + marginals (38)
CAN,CANr109,4167065,1601632,LIS: survey + marginals (38)
CAN,CANr110,4682857,1961347,LIS: survey + marginals (38)
CHE,CHEr101,1578991,714330,LIS: survey + marginals (38)
CHE,CHEr102,1836115,853735,LIS: survey + marginals (38)
CHE,CHEr103,1123033,518407,LIS: survey + marginals (38)
CHE,CHEr104,1454041,694347,LIS: survey + marginals (38)
CHE,CHEr105,1151030,527256,LIS: survey + marginals (38)
CHE,CHEr106,786970,349443,LIS: survey + marginals (38)
CHE,CHEr107,351933,167041,LIS: survey + marginals (38)
CHL,CHLr101,513929,157761,LIS: survey + marginals (38)
CHL,CHLr102,587977,175074,LIS: survey + marginals (38)
CHL,CHLr103,302040,89304,LIS: survey + marginals (38)
CHL,CHLr104,720124,219762,LIS: survey + marginals (38)
CHL,CHLr105,1828089,595495,LIS: survey + marginals (38)
CHL,CHLr106,928900,295491,LIS: survey + marginals (38)
CHL,CHLr107,1081891,350358,LIS: survey + marginals (38)
CHL,CHLr108,2216377,709577,LIS: survey + marginals (38)
CHL,CHLr109,1013113,322303,LIS: survey + marginals (38)
CHL,CHLr110,1270953,408425,LIS: survey + marginals (38)
CHL,CHLr111,111012,37093,LIS: survey + marginals (38)
CHL,CHLr112,182042,63714,LIS: survey + marginals (38)
CHL,CHLr113,7212973,2214890,LIS: survey + marginals (38)
CHN,CHNr101,21716822,6743334,LIS: survey + marginals (38)
CHN,CHNr102,15475900,4803120,LIS: survey + marginals (38)
CHN,CHNr103,74268570,23130642,LIS: survey + marginals (38)
CHN,CHNr104,36651437,11398931,LIS: survey + marginals (38)
CHN,CHNr105,25117486,7805317,LIS: survey + marginals (38)
CHN,CHNr106,43832507,15234537,LIS: survey + marginals (38)
CHN,CHNr107,27537654,9579671,LIS: survey + marginals (38)
CHN,CHNr108,38128912,13266419,LIS: survey + marginals (38)
CHN,CHNr109,24170953,7557472,LIS: survey + marginals (38)
CHN,CHNr110,79802091,25019369,LIS: survey + marginals (38)
CHN,CHNr111,55424409,17364110,LIS: survey + marginals (38)
CHN,CHNr112,61484653,19268152,LIS: survey + marginals (38)
CHN,CHNr113,38425446,12028434,LIS: survey + marginals (38)
CHN,CHNr114,45703019,14312593,LIS: survey + marginals (38)
CHN,CHNr115,98519729,30900053,LIS: survey + marginals (38)
CHN,CHNr116,94835658,24186556,LIS: survey + marginals (38)
CHN,CHNr117,58543485,14969922,LIS: survey + marginals (38)
CHN,CHNr118,67857021,17336330,LIS: survey + marginals (38)
CHN,CHNr119,108527371,27660479,LIS: survey + marginals (38)
CHN,CHNr120,47982591,12283043,LIS: survey + marginals (38)
CHN,CHNr121,9111960,2362350,LIS: survey + marginals (38)
CHN,CHNr122,30191754,8246822,LIS: survey + marginals (38)
CHN,CHNr123,82077676,22181271,LIS: survey + marginals (38)
CHN,CHNr124,35326238,9626356,LIS: survey + marginals (38)
CHN,CHNr125,47451297,12888942,LIS: survey + marginals (38)
CHN,CHNr126,3240936,911341,LIS: survey + marginals (38)
CHN,CHNr127,37939311,10088179,LIS: survey + marginals (38)
CHN,CHNr128,26006268,6918573,LIS: survey + marginals (38)
CHN,CHNr129,5880888,1563413,LIS: survey + marginals (38)
CHN,CHNr130,6682166,1776090,LIS: survey + marginals (38)
CHN,CHNr131,23606435,6280162,LIS: survey + marginals (38)
CHN,CHNr132,-99,-99,LIS: survey + marginals (38)
TWN,CHNr133,-99,-99,No data (105)
CIV,CIVr101,1681668,321495,LIS: survey (4)
CIV,CIVr102,582392,115891,LIS: survey (4)
CIV,CIVr103,1865783,369073,LIS: survey (4)
CIV,CIVr104,3467734,664388,LIS: survey (4)
CIV,CIVr105,1235343,233181,LIS: survey (4)
CIV,CIVr106,998016,188202,LIS: survey (4)
CIV,CIVr107,1078025,204169,LIS: survey (4)
CIV,CIVr108,2731120,506217,LIS: survey (4)
CIV,CIVr109,7685466,1539791,LIS: survey (4)
CIV,CIVr110,1903313,358646,LIS: survey (4)
CMR,CMRr101,1129070,211756,No data (105)
CMR,CMRr102,4349740,937872,No data (105)
CMR,CMRr103,1288216,250720,No data (105)
CMR,CMRr104,4140510,732898,No data (105)
CMR,CMRr105,3291138,755590,No data (105)
CMR,CMRr106,3007027,536495,No data (105)
CMR,CMRr107,1681365,333966,No data (105)
CMR,CMRr108,2622315,533370,No data (105)
CMR,CMRr109,907212,188598,No data (105)
CMR,CMRr110,886539,189278,No data (105)
COD,CODr101,8623780,1863191,No data (105)
COD,CODr102,4234637,812937,No data (105)
COD,CODr103,11054765,2100525,No data (105)
COD,CODr104,7943580,1493089,No data (105)
COD,CODr105,8226404,1549273,No data (105)
COD,CODr106,6526698,1273032,No data (105)
COD,CODr107,5926795,1118351,No data (105)
COD,CODr108,1837884,347124,No data (105)
COD,CODr109,9591670,1826576,No data (105)
COD,CODr110,6778538,1278547,No data (105)
COD,CODr111,5499899,1034459,No data (105)
COG,COGr201,111881,22743,No data (105)
COG,COGr202,252282,54587,No data (105)
COG,COGr203,97399,19793,No data (105)
COG,COGr204,324929,68038,No data (105)
COG,COGr205,331282,65746,No data (105)
COG,COGr206,174140,37073,No data (105)
COG,COGr207,171561,37340,No data (105)
COG,COGr208,74964,15569,No data (105)
COG,COGr209,94317,19555,No data (105)
COG,COGr210,195516,40855,No data (105)
COG,COGr211,1868096,437348,No data (105)
COG,COGr212,1159364,267016,No data (105)
COL,COLr101,6376516,1878053,LIS: survey (4)
COL,COLr102,2429644,740792,LIS: survey (4)
COL,COLr103,7780820,2563845,LIS: survey (4)
COL,COLr104,2071554,593305,LIS: survey (4)
COL,COLr105,1260773,364667,LIS: survey (4)
