"country","GDLCODE","X1","X2","X3","X4","X5","X6","X7","X8"
"Iran","IRNr110",131428.186409004,513989.599889052,4541953.4736254,376667.339001875,24747.2760102008,219934.937727758,51701.88014649,38602.0228449276
"Iran","IRNr111",111877.265756497,472710.021023256,3709166.27711501,244830.566707358,20498.7490744651,188338.446206459,31704.7901893175,29860.1315543021
"Iran","IRNr112",42725.0649763378,131962.777284574,1859948.66431746,254825.405362602,9918.47138832604,124199.125274098,35236.4411646277,33321.027266459
"Iran","IRNr113",18858.3233607754,105843.631448513,1031830.14475728,72511.0400530837,11923.5973181586,183655.15403788,26625.496628516,12313.6465851753
"Iran","IRNr114",37150.4245520328,166624.353193672,1258319.86286813,98315.433506867,10863.0286423142,117443.43315551,15039.4798434226,14272.8061027091
"Iran","IRNr115",13430.3853165273,64128.3370105539,689373.820791826,45732.3487264298,2833.8218155412,56440.4020348305,5747.9423017075,4219.40653830339
"Iran","IRNr116",25669.055131261,114989.837099504,1334906.69818314,110276.924354903,8637.47400845477,103264.94072748,18405.8217951774,17191.6582783242
"Iran","IRNr117",5294.62044322399,29952.1544110456,419153.828794989,37116.952600879,2782.03332447029,36956.6053489231,8338.96742673644,4809.86736222846
"Iran","IRNr118",5710.969100433,33886.8392895344,478746.02617775,37683.6349346987,5779.043406351,66835.9837753172,5934.08876526697,8853.17102303287
"Iran","IRNr119",11700.1675425996,54806.3085820735,680153.318613274,59719.0826871349,4685.35290436492,93390.3149942372,12688.9005695392,8327.04316918255
"Iran","IRNr120",17299.3767391802,92982.8795194783,748467.610218121,47654.2149283924,3403.51522446469,67551.4692392663,4768.67265366559,9066.71726967969
"Iran","IRNr121",14577.0347274818,65804.6155254794,457732.873435553,30957.4433492701,3174.13332370057,23141.7427548568,2457.71752757659,4346.93207127072
"Iran","IRNr122",24993.2738436806,100679.447577642,807731.130246695,39636.5022055869,3395.24227060809,44548.8761677775,8250.3357808241,6329.02977888089
"Iran","IRNr123",24951.1287957992,109619.159500087,1120146.76819091,119323.334373883,7542.86317786554,107507.785634449,22194.6846079253,12049.8023796518
"Iran","IRNr124",389481.504297161,1390136.88811196,10808665.531976,891425.423278132,57923.1114359407,584198.638012784,136707.601423132,171391.815415153
"Iran","IRNr125",18083.34665549,81804.9484413091,917173.036458529,68445.0983093561,6600.26662394493,116260.940946891,13191.830140447,11515.7817076723
"Iran","IRNr126",17702.3606244999,97516.8583757681,884465.778338227,68976.0678919447,4014.2332812309,44597.723608747,9226.64437162108,6671.34200139495
"Iran","IRNr127",23643.4518900083,114288.166568174,918236.176052319,56733.3966485017,4846.40040634493,56874.2169283559,5763.15773437484,8900.55794252348
"Iran","IRNr128",26317.5766857589,125049.608939129,1297599.0274864,99968.0835852638,11547.6630909141,152196.441710616,20917.5986246174,14970.065058887
"Iran","IRNr129",19892.2525249872,71264.7250565508,647801.977573098,51140.9898807271,4868.15817495208,38961.9213466193,4681.40149351443,4415.39651648789
"Iran","IRNr130",17807.1080245392,66099.9209642303,484745.668348848,32209.2002888478,1595.17955855852,17934.4034753558,2018.47069457826,4519.7237665127
"Mauritius","MUSr101",14065.1307784679,32068.4981749068,308759.760153324,38417.9000691865,7504.75192251107,121583.00905787,38227.0161514788,21077.6031237326
"Mauritius","MUSr102",19038.1591608547,42878.5558303578,318977.073011682,43481.347149435,10398.1502540816,114902.071938098,40236.3205484027,24613.9788623188
"Mauritius","MUSr103",1175.44307220053,1949.02526501626,19741.4156997781,4952.93533841762,954.419588538892,8047.26410968055,4048.74835980182,1125.21046227743
"Romania","ROUr101",317040,504660,1347480,246770,90750,422480,226590,105440
"Romania","ROUr102",242740,393920,883560,172880,87210,450990,208770,90840
"Romania","ROUr103",304290,468420,1133320,211230,117720,764270,373260,132280
"Romania","ROUr104",195780,289760,656720,131440,71910,414070,216300,85300
"Romania","ROUr105",187110,253260,563790,118780,77840,354790,149950,98530
"Romania","ROUr106",236960,353300,993870,174840,73910,440440,191460,101960
"Romania","ROUr107",211690,334180,982520,165100,66320,354010,158060,78220
"Romania","ROUr108",245920,276120,608100,130380,65810,280500,130730,102600
