Country;ISO_Code;GDLCODE;Region;GEOLEV1_IPUMS;Label;;;;;;;
Egypt;EGY;EGYr115;Beni Suef;818022;Bani Swif [Governorate: Egypt];;;;;;;
Egypt;EGY;EGYr116;Fayoum;818023;Fayoum [Governorate: Egypt];;;;;;;
Egypt;EGY;EGYr117;Menya;818024;Menia [Governorate: Egypt];;;;;;;
Egypt;EGY;EGYr118;Assuit;818025;Asiut [Governorate: Egypt];;;;;;;
Egypt;EGY;EGYr119;Souhag;818026;Sohag [Governorate: Egypt];;;;;;;
Egypt;EGY;EGYr120;Qena;818027;Qena, Luxor [Governorate: Egypt];;;;;;;
Egypt;EGY;EGYr121;Aswan;818028;Aswan [Governorate: Egypt];;;;;;;
Egypt;EGY;EGYr122;Frontier governorates (Red Sea, New Valley, Matroh, North Sainai, South Sainai);818031;818031;818032;818033;818034;818035;;;
Ethiopia;ETH;ETHr101;Tigray;231001;Tigray [Region: Ethiopia];;;;;;;
Ethiopia;ETH;ETHr102;Affar;231002;Affar [Region: Ethiopia];;;;;;;
Ethiopia;ETH;ETHr103;Amhara;231003;Amhara [Region: Ethiopia];;;;;;;
Ethiopia;ETH;ETHr104;Oromiya;231004;Oromia, Somali [Region: Ethiopia];;;;;;;
Ethiopia;ETH;ETHr105;Somali;231004;Oromia, Somali [Region: Ethiopia];;;;;;;
Ethiopia;ETH;ETHr106;Ben-Gumz;231006;Benishangul?Gumuz [Region: Ethiopia];;;;;;;
Ethiopia;ETH;ETHr107;SNNP;231007;Southern Nations, Nationalities, and Peoples (SNNP) [Region: Ethiopia];;;;;;;
Ethiopia;ETH;ETHr108;Gambela;231012;Gambela [Region: Ethiopia];;;;;;;
Ethiopia;ETH;ETHr109;Harari;231013;Harari [Region: Ethiopia];;;;;;;
Ethiopia;ETH;ETHr110;Addis;231014;Addis Ababa [Region: Ethiopia];;;;;;;
Ethiopia;ETH;ETHr111;Dire Dawa;231015;Dire Dawa [Region: Ethiopia];;;;;;;
Ghana;GHA;GHAr101;Western;288001;Western [Region: Ghana];;;;;;;
Ghana;GHA;GHAr102;Central;288002;Central [Region: Ghana];;;;;;;
Ghana;GHA;GHAr103;Greater Accra;288003;Greater Accra [Region: Ghana];;;;;;;
Ghana;GHA;GHAr104;Volta;288004;Volta [Region: Ghana];;;;;;;
Ghana;GHA;GHAr105;Eastern;288005;Eastern [Region: Ghana];;;;;;;
Ghana;GHA;GHAr106;Ashanti;288006;Ashanti [Region: Ghana];;;;;;;
Ghana;GHA;GHAr107;Brong Ahafo;288007;Brong Ahafo [Region: Ghana];;;;;;;
Ghana;GHA;GHAr108;Northern;288008;Northern [Region: Ghana];;;;;;;
Ghana;GHA;GHAr109;Upper West;288010;Upper West [Region: Ghana];;;;;;;
Ghana;GHA;GHAr110;Upper East;288009;Upper East [Region: Ghana];;;;;;;
Guinea;GIN;GINr101;Boke;101;324011;324012;324013;324014;324015;;;
Guinea;GIN;GINr102;Conakry;102;324021;Conakry [Region: Guinea];;;;;;
Guinea;GIN;GINr103;Faranah;103;324031;324032;324033;324034;;;;
Guinea;GIN;GINr104;Kankan;104;324041;324042;324043;324044;324045;;;
Guinea;GIN;GINr105;Kindia;105;324051;324053;324054;324055;;;;
Guinea;GIN;GINr106;Labe;106;324061;324062;324063;324064;324065;;;
Guinea;GIN;GINr107;Mamou;107;324071;324072;324073;;;;;
Guinea;GIN;GINr108;N Zerekore;108;324081;324082;324083;324084;324085;324086;;
Indonesia;IDN;IDNr101;DI Aceh;360011;Nanggroe Aceh Darussalam [Province: Indonesia];;;;;;;
Indonesia;IDN;IDNr102;North Sumatra;360012;Sumatera Utara [Province: Indonesia];;;;;;;
Indonesia;IDN;IDNr103;West Sumatra;360013;Sumatera Barat [Province: Indonesia];;;;;;;
Indonesia;IDN;IDNr104;Riau (incl. Riau islands);360014;Kepulauan Riau, Riau [Province: Indonesia];;;;;;;
Indonesia;IDN;IDNr105;Jambi;360015;Jambi [Province: Indonesia];;;;;;;
Indonesia;IDN;IDNr106;South Sumatra;360016;Bangka Belitung, Sumatera Selatan [Province: Indonesia];;;;;;;
Indonesia;IDN;IDNr107;Bengkulu;360017;Bengkulu [Province: Indonesia];;;;;;;
Indonesia;IDN;IDNr108;Lampung;360018;Lampung [Province: Indonesia];;;;;;;
Indonesia;IDN;IDNr109;Bangka Belitung;360016;Bangka Belitung, Sumatera Selatan [Province: Indonesia];;;;;;;
Indonesia;IDN;IDNr110;DKI Jakarta;360031;DKI Jakarta [Province: Indonesia];;;;;;;
Indonesia;IDN;IDNr111;West Java;360032;Banten, Jawa Barat [Province: Indonesia];;;;;;;
Indonesia;IDN;IDNr112;Central Java;360033;Jawa Tengah [Province: Indonesia];;;;;;;
Indonesia;IDN;IDNr113;DI Yogyakarta;360034;DKI Yogyakarta [Province: Indonesia];;;;;;;
Indonesia;IDN;IDNr114;East Java;360035;Jawa Timur [Province: Indonesia];;;;;;;
Indonesia;IDN;IDNr115;Banten;360032;Banten, Jawa Barat [Province: Indonesia];;;;;;;
Indonesia;IDN;IDNr116;Bali;360051;Bali [Province: Indonesia];;;;;;;
Indonesia;IDN;IDNr117;West Nusa Tenggara;360052;Nusa Tenggara Barat [Province: Indonesia];;;;;;;
Indonesia;IDN;IDNr118;East Nusa Tenggara;360053;Nusa Tenggara Timur [Province: Indonesia];;;;;;;
Indonesia;IDN;IDNr120;West Kalimantan;360061;Kalimantan Barat [Province: Indonesia];;;;;;;
Indonesia;IDN;IDNr121;Central Kalimantan;360062;Kalimantan Tengah [Province: Indonesia];;;;;;;
Indonesia;IDN;IDNr122;South Kalimantan;360063;Kalimantan Selatan [Province: Indonesia];;;;;;;
Indonesia;IDN;IDNr123;East Kalimantan;360064;Kalimantan Timur [Province: Indonesia];;;;;;;
Indonesia;IDN;IDNr124;North Sulawesi;360071;Gorontalo, Sulawesi Utara [Province: Indonesia];;;;;;;
Indonesia;IDN;IDNr125;Central Sulawesi;360072;Sulawesi Tengah [Province: Indonesia];;;;;;;
Indonesia;IDN;IDNr126;South Sulawesi (incl Sulawesi Barat);360073;Sulawesi Barat, Sulawesi Selatan [Province: Indonesia];;;;;;;
Indonesia;IDN;IDNr127;Southeast Sulawesi;360074;Sulawesi Tenggara [Province: Indonesia];;;;;;;
Indonesia;IDN;IDNr128;Gorontalo;360071;Gorontalo, Sulawesi Utara [Province: Indonesia];;;;;;;
Indonesia;IDN;IDNr129;Maluku;360081;Maluku, Maluku Utara [Province: Indonesia];;;;;;;
Indonesia;IDN;IDNr130;Irian Jaya (Papua and Papua Barat);360094;Papua, Papua Barat [Province: Indonesia];;;;;;;
Kenya;KEN;KENr101;Nairobi;404001;Nairobi [Province: Kenya];;;;;;;
Kenya;KEN;KENr102;Central;404002;Central [Province: Kenya];;;;;;;
Kenya;KEN;KENr103;Coast;404003;Coast [Province: Kenya];;;;;;;
Kenya;KEN;KENr104;Eastern;404004;Eastern [Province: Kenya];;;;;;;
Kenya;KEN;KENr105;Nyanza;404006;Nyanza [Province: Kenya];;;;;;;
Kenya;KEN;KENr106;Rift Valley;404007;Rift Valley [Province: Kenya];;;;;;;
Kenya;KEN;KENr107;Western;404008;Western [Province: Kenya];;;;;;;
Kenya;KEN;KENr108;North Eastern;404005;Northeastern [Province: Kenya];;;;;;;
KyrgyzRepublic;KGZ;KGZr101;Bishkek;417001;Bishkek [Region: Kyrgyz Republic];;;;;;;
KyrgyzRepublic;KGZ;KGZr102;Issyk-Kul;417002;;;;;;;;
KyrgyzRepublic;KGZ;KGZr103;Chuy;417008;Naryn region [Region: Kyrgyz Republic];;;;;;;
KyrgyzRepublic;KGZ;KGZr104;Talas;417007;Oshskaya region, City of Osh [Region: Kyrgyz Republic];;;;;;;
KyrgyzRepublic;KGZ;KGZr105;Jalal-Abad;417003;Dzhalal?Abad region [Region: Kyrgyz Republic];;;;;;;
KyrgyzRepublic;KGZ;KGZr106;Osh;417006;Oshskaya region, City of Osh [Region: Kyrgyz Republic];;;;;;;
KyrgyzRepublic;KGZ;KGZr107;Naryn;417004;Naryn region [Region: Kyrgyz Republic];;;;;;;
KyrgyzRepublic;KGZ;KGZr108;Batken;417005;Batken region [Region: Kyrgyz Republic];;;;;;;
Cambodia;KHM;KHMr101;Banteay Mean Chey;116001;Banteay Meanchey [Province: Cambodia];;;;;;;
Cambodia;KHM;KHMr102;Kampong Cham (incl Tboung Khmum);116003;Kampong Cham [Province: Cambodia];;;;;;;
Cambodia;KHM;KHMr103;Kampong Chhnang;116004;Kampong Chhnang [Province: Cambodia];;;;;;;
Cambodia;KHM;KHMr104;Kampong Spueu;116005;Kampong Speu [Province: Cambodia];;;;;;;
Cambodia;KHM;KHMr105;Kampong Thum;116006;Kampong Thom [Province: Cambodia];;;;;;;
Cambodia;KHM;KHMr106;Kandal;116012;;;;;;;;
Cambodia;KHM;KHMr107;Kaoh Kong;116018;;;;;;;;
Cambodia;KHM;KHMr108;Phnom Penh;116012;Phnom Penh, Kandal [Province: Cambodia];;;;;;;
Cambodia;KHM;KHMr109;Prey Veaeng;116014;Prey Veng [Province: Cambodia];;;;;;;
Cambodia;KHM;KHMr110;Pousat;116015;Pursat [Province: Cambodia];;;;;;;
Cambodia;KHM;KHMr111;Svay Rieng;116020;Svay Rieng [Province: Cambodia];;;;;;;
Cambodia;KHM;KHMr112;Takaev;116021;Takeo [Province: Cambodia];;;;;;;
Cambodia;KHM;KHMr113;Bat Dambang-Krong Pailin;116002;116024;;;;;;;
Cambodia;KHM;KHMr114;Kampot-Krong Kaeb-Krong Preah Sihanouk;116007;116023;;;;;;;
Cambodia;KHM;KHMr115;Preah Vihear-Stueng Traeng-Kracheh;116010;116019;116013;;;;;;
Cambodia;KHM;KHMr116;Mondol Kiri-Rotanak Kiri;116011;116016;;;;;;;
Cambodia;KHM;KHMr117;Siem Reab-Otdar Mean Chey;116017;;;;;;;;
Liberia;LBR;LBRr101;Bomi;430030;Bomi, Bong, Grand Bassa, Margibi, Montserrado [County: Liberia];;;;;;;
Liberia;LBR;LBRr102;Bong;430030;Bomi, Bong, Grand Bassa, Margibi, Montserrado [County: Liberia];;;;;;;
Liberia;LBR;LBRr103;Gbarpolu;430021;Gbarpolu, Lofa [County: Liberia];;;;;;;
Liberia;LBR;LBRr104;Grand Bassa;430030;Bomi, Bong, Grand Bassa, Margibi, Montserrado [County: Liberia];;;;;;;
Liberia;LBR;LBRr105;Grand Cape Mount;430012;Grad Cape Mount [County: Liberia];;;;;;;
Liberia;LBR;LBRr106;Grand Gedeh;430030;Bomi, Bong, Grand Bassa, Margibi, Montserrado [County: Liberia];;;;;;;
Liberia;LBR;LBRr107;Grand Kru;430027;Grand Gedeh, Grand Kru, Maryland, River Gee, Rivercess, Sinoe [County: Liberia];;;;;;;
Liberia;LBR;LBRr108;Lofa;430021;Gbarpolu, Lofa [County: Liberia];;;;;;;
Liberia;LBR;LBRr109;Margibi;430030;Bomi, Bong, Grand Bassa, Margibi, Montserrado [County: Liberia];;;;;;;
Liberia;LBR;LBRr110;Maryland;430027;Grand Gedeh, Grand Kru, Maryland, River Gee, Rivercess, Sinoe [County: Liberia];;;;;;;
Liberia;LBR;LBRr111;Montserrado;430030;Bomi, Bong, Grand Bassa, Margibi, Montserrado [County: Liberia];;;;;;;
Liberia;LBR;LBRr112;Nimba;430033;Nimba [County: Liberia];;;;;;;
Liberia;LBR;LBRr113;River Cess;430027;Grand Gedeh, Grand Kru, Maryland, River Gee, Rivercess, Sinoe [County: Liberia];;;;;;;
Liberia;LBR;LBRr114;River Gee;430027;Grand Gedeh, Grand Kru, Maryland, River Gee, Rivercess, Sinoe [County: Liberia];;;;;;;
Liberia;LBR;LBRr115;Sinoe;430027;Grand Gedeh, Grand Kru, Maryland, River Gee, Rivercess, Sinoe [County: Liberia];;;;;;;
Lesotho;LSO;LSOr101;Butha-Buthe;426001;Butha Buthe [District: Lesotho];;;;;;;
Lesotho;LSO;LSOr102;Leribe;426002;Leribe [District: Lesotho];;;;;;;
Lesotho;LSO;LSOr103;Berea;426003;Berea [District: Lesotho];;;;;;;
Lesotho;LSO;LSOr104;Maseru;426004;Maseru [District: Lesotho];;;;;;;
Lesotho;LSO;LSOr105;Mafeteng;426005;Mafeteng [District: Lesotho];;;;;;;
Lesotho;LSO;LSOr106;Mohale s Hoek;426006;Mohale's Hoek [District: Lesotho];;;;;;;
Lesotho;LSO;LSOr107;Quthing;426007;Quthing [District: Lesotho];;;;;;;
Lesotho;LSO;LSOr108;Qasha s Nek;426008;Qacha's Nek [District: Lesotho];;;;;;;
Lesotho;LSO;LSOr109;Mokhotlong;426009;Mokhotlong [District: Lesotho];;;;;;;
Lesotho;LSO;LSOr110;Thaba-Tseka;426010;Thaba?Tseka [District: Lesotho];;;;;;;
Mali;MLI;MLIr101;Kayes;466001;Kayes [Region: Mali];;;;;;;
Mali;MLI;MLIr102;Koulikoro;466002;Koulikoro [Region: Mali];;;;;;;
Mali;MLI;MLIr103;Sikasso;466003;Sikasso [Region: Mali];;;;;;;
Mali;MLI;MLIr104;Segou;466004;Ségou [Region: Mali];;;;;;;
Mali;MLI;MLIr105;Mopti;466005;Mopti [Region: Mali];;;;;;;
Mali;MLI;MLIr106;Tombouctou;466006;Tombouctou [Region: Mali];;;;;;;
Mali;MLI;MLIr107;Gao and Kidal;466007;Gao, Kidal [Region: Mali];;;;;;;
Mali;MLI;MLIr108;Bamako;466009;Bamako [Region: Mali];;;;;;;
Myanmar;MMR;MMRr101;Kachin;104001;Kachin [State or Region: Myanmar];;;;;;;
Myanmar;MMR;MMRr102;Kayah;104002;Kayah [State or Region: Myanmar];;;;;;;
Myanmar;MMR;MMRr103;Kayin;104003;Kayin [State or Region: Myanmar];;;;;;;
Myanmar;MMR;MMRr104;Chin;104004;Chin [State or Region: Myanmar];;;;;;;
Myanmar;MMR;MMRr105;Sagaing;104005;Sagaing [State or Region: Myanmar];;;;;;;
Myanmar;MMR;MMRr106;Taninthayi;104006;Tanintharyi [State or Region: Myanmar];;;;;;;
Myanmar;MMR;MMRr107;Bago;104007;Bago [State or Region: Myanmar];;;;;;;
Myanmar;MMR;MMRr108;Magway;104008;Magway [State or Region: Myanmar];;;;;;;
Myanmar;MMR;MMRr109;Mandalay, NayPyitaw;104009;104015;;;;;;;
Myanmar;MMR;MMRr110;Mon;104010;Mon [State or Region: Myanmar];;;;;;;
Myanmar;MMR;MMRr111;Rakhine;104011;Rakhine [State or Region: Myanmar];;;;;;;
Myanmar;MMR;MMRr112;Yangon;104012;Yangon [State or Region: Myanmar];;;;;;;
Myanmar;MMR;MMRr113;Shan;104013;Shan [State or Region: Myanmar];;;;;;;
Myanmar;MMR;MMRr114;Ayeyarwaddy;104014;Ayeyawady [State or Region: Myanmar];;;;;;;
Mozambique;MOZ;MOZr101;Niassa;508001;Niassa [Province: Mozambique];;;;;;;
Mozambique;MOZ;MOZr102;Cabo delgado;508002;Cabo Delgado [Province: Mozambique];;;;;;;
Mozambique;MOZ;MOZr103;Nampula;508003;Nampula [Province: Mozambique];;;;;;;
Mozambique;MOZ;MOZr104;Zambezia;508004;Zambézia [Province: Mozambique];;;;;;;
Mozambique;MOZ;MOZr105;Tete;508005;Tete [Province: Mozambique];;;;;;;
Mozambique;MOZ;MOZr106;Manica;508006;Manica [Province: Mozambique];;;;;;;
Mozambique;MOZ;MOZr107;Sofala;508007;Sofala [Province: Mozambique];;;;;;;
Mozambique;MOZ;MOZr108;Inhambane;508008;Inhambane [Province: Mozambique];;;;;;;
Mozambique;MOZ;MOZr109;Gaza;508009;Gaza [Province: Mozambique];;;;;;;
Mozambique;MOZ;MOZr110;Maputo Provincia;508010;Maputo province [Province: Mozambique];;;;;;;
Mozambique;MOZ;MOZr111;Maputo Cidade;508011;Maputo city [Province: Mozambique];;;;;;;
Malawi;MWI;MWIr101;Blantyre;454305;Blantyre, Blantyre city [District: Malawi];;;;;;;
Malawi;MWI;MWIr102;Kasungu;454201;Kasungu [District: Malawi];;;;;;;
Malawi;MWI;MWIr103;Machinga;454302;Machinga [District: Malawi];;;;;;;
Malawi;MWI;MWIr104;Mangochi;454301;Mangochi [District: Malawi];;;;;;;
Malawi;MWI;MWIr105;Mzimba;454105;Mzimba, Mzuzu city [District: Malawi];;;;;;;
Malawi;MWI;MWIr106;Salima;454205;Salima [District: Malawi];;;;;;;
Malawi;MWI;MWIr107;Thyolo;454307;Thyolo [District: Malawi];;;;;;;
Malawi;MWI;MWIr108;Zomba;454303;Zomba, Zomba city [District: Malawi];;;;;;;
Malawi;MWI;MWIr109;Lilongwe;454206;Lilongwe, Lilongwe city [District: Malawi];;;;;;;
Malawi;MWI;MWIr110;Mulanje;454308;Mulanje [District: Malawi];;;;;;;
Malawi;MWI;MWIr111;Other northern (Chitipa, Karonga, Rumphi, Nkhata Bay);454101;454102;454103;454104;;;;;
Malawi;MWI;MWIr112;Other central (Nkhota Kota, Mchinji, Dowa, Ntchisi, Dedza, Ntcheu);454202;454203;454204;454207;454208;454209;;;
Malawi;MWI;MWIr113;Other southern (Balaka, Mwanza, Phalombe, Chiradzulu, Chikwawa, Nsanje, neno);454304;454309;454310;454311;454312;454313;;;
Nepal;NPL;NPLr101;Eastern;101;524001;524002;524003;;;;;
Nepal;NPL;NPLr102;Central;102;524004;524005;524006;;;;;
Nepal;NPL;NPLr103;Western;103;524007;524008;524009;;;;;
Nepal;NPL;NPLr104;Mid-western;104;524010;524011;524012;;;;;
Nepal;NPL;NPLr105;Far-western;105;524013;524014;;;;;;
Rwanda;RWA;RWAr101;City of Kigali;;;;;;;;;
Rwanda;RWA;RWAr102;South;;;;;;;;;
Rwanda;RWA;RWAr103;West;;;;;;;;;
Rwanda;RWA;RWAr104;North;;;;;;;;;
Rwanda;RWA;RWAr105;East;;;;;;;;;
Senegal;SEN;SENr101;Dakar;686001;Dakar [Region: Senegal];;;;;;;
Senegal;SEN;SENr102;Ziguinchor;686002;Ziguinchor [Region: Senegal];;;;;;;
Senegal;SEN;SENr103;Diourbel;686003;Diourbel [Region: Senegal];;;;;;;
Senegal;SEN;SENr104;Saint Louis;686004;;;;;;;;
Senegal;SEN;SENr105;Tambacounda;686005;Tambacounda [Region: Senegal];;;;;;;
Senegal;SEN;SENr106;Kaolack;686006;;;;;;;;
Senegal;SEN;SENr107;Thies;686007;Thies [Region: Senegal];;;;;;;
Senegal;SEN;SENr108;Louga;686004;;;;;;;;
Senegal;SEN;SENr109;Fatick;686006;;;;;;;;
Senegal;SEN;SENr110;Kolda;686010;Kolda, Sedhiou [Region: Senegal];;;;;;;
SierraLeone;SLE;SLEr101;Bombali;694021;Bombali [District: Sierra Leone];;;;;;;
SierraLeone;SLE;SLEr102;Kambia;694022;Kambia [District: Sierra Leone];;;;;;;
SierraLeone;SLE;SLEr103;Koinadugu;694023;Koinadugu [District: Sierra Leone];;;;;;;
SierraLeone;SLE;SLEr104;Port Loko;694024;Port Loko [District: Sierra Leone];;;;;;;
SierraLeone;SLE;SLEr105;Tonkolili;694025;Tonkolili [District: Sierra Leone];;;;;;;
SierraLeone;SLE;SLEr106;Kailahun;694011;Kailahun [District: Sierra Leone];;;;;;;
SierraLeone;SLE;SLEr107;Kenema;694012;Kenema [District: Sierra Leone];;;;;;;
SierraLeone;SLE;SLEr108;Kono;694013;Kono [District: Sierra Leone];;;;;;;
SierraLeone;SLE;SLEr109;Bo;694031;Bo [District: Sierra Leone];;;;;;;
SierraLeone;SLE;SLEr110;Bonthe;694032;Bonthe [District: Sierra Leone];;;;;;;
SierraLeone;SLE;SLEr111;Moyamba;694033;Moyamba [District: Sierra Leone];;;;;;;
SierraLeone;SLE;SLEr112;Pujehun;694034;Pujehun [District: Sierra Leone];;;;;;;
SierraLeone;SLE;SLEr113;Western Rural;694041;Western Rural [District: Sierra Leone];;;;;;;
SierraLeone;SLE;SLEr114;Western Urban;694042;Western Urban [District: Sierra Leone];;;;;;;
Tanzania;TZA;TZAr201;Dodoma;834001;Dodoma [Region: Tanzania];;;;;;;
Tanzania;TZA;TZAr202;Arusha, Manyara;834002;Arusha, Manyara [Region: Tanzania];;;;;;;
Tanzania;TZA;TZAr203;Kilimanjaro;834003;Kilimanjaro [Region: Tanzania];;;;;;;
Tanzania;TZA;TZAr204;Tanga;834004;Tanga [Region: Tanzania];;;;;;;
