,GDLCODE,Nr_households,Nr_individuals,ECONSIT_1,ECONSIT_2,ECONSIT_3,ECONSIT_4,ECONSIT_5,ECONSIT_AVG,EDU_1,EDU_2,EDU_3,EDU_4,EDU_5,EDUF_1,EDUF_2,EDUF_3,EDUF_4,EDUF_5,EDUM_1,EDUM_2,EDUM_3,EDUM_4,EDUM_5,AGE_1,AGE_2,AGE_3,AGE_4,AGE_5,AGE_6,AGE_7,GENDER_0,GENDER_1,HHTYPE_1,HHTYPE_2,HHTYPE_3,HHTYPE_4,HHTYPE_5,HHTYPE_6,HHTYPE_7,HHTYPE_8,HHSIZE_1,HHSIZE_2,HHSIZE_3,HHSIZE_4,HHSIZE_5,HHSIZE_6,RURALHH_0,RURALHH_1,RURALINDI_0,RURALINDI_1
23924,INDr106,5902012,28490297,516979,667023,1041398,1342010,2334602,3.7302989217914164,11551229,8877893,3521558,2615766,1923851,6785550,3896153,1359687,1034918,624516,4765679,4981740,2161871,1580848,1299335,8015614,5936991,4277240,3781445,2743530,2190898,1544579,13700824,14789473,48747,271386,2505246,274665,117772,2023855,523578,136763,48747,373327,1875518,2398478,1038956,166986,4737250,1164762,22958698,5531599
23925,INDr107,1676697,7129951,120540,185836,355873,428077,586371,3.700128287937534,2328380,2554520,1164781,710084,372186,1505690,1370817,496642,292360,131266,822690,1183703,668139,417724,240920,1940071,1190554,1028630,997419,740743,641648,590886,3796775,3333176,82570,149089,548206,138424,105537,404481,183179,65211,82570,207594,659455,515533,198906,12639,1123179,553518,4745506,2384445
23926,INDr108,2346753,13246312,96400,137040,353434,638247,1121632,4.087319798888081,5091338,4593172,1477944,1157215,926643,3033726,2227792,625554,480750,338673,2057612,2365380,852390,676465,587970,3647410,2925028,2240709,1407320,1419286,948422,658137,6706495,6539817,18947,75518,944007,188035,75974,796002,187574,60696,18947,132936,758465,768133,578183,90089,2007264,339489,11175847,2070465
23927,INDr109,14149522,64768911,2112450,2539412,3389481,3370329,2737850,3.147122779129924,27255677,22375003,7322864,4510865,3304502,16541051,10234922,2916259,1833110,1194881,10714626,12140081,4406605,2677755,2109621,16789588,12267745,10464538,9038247,6967667,5146255,4094871,32720223,32048688,413964,1094789,5295291,786221,489965,4441332,1227897,400063,413964,1569614,5808438,4037178,1885702,434626,9979606,4169916,45346515,19422396
23928,INDr110,9023635,37195860,833038,595076,1191262,2737600,3666659,3.865478933932944,7955245,15532120,6038364,4308520,3361611,5096310,9033740,2461197,1694218,1080740,2858935,6498380,3577167,2614302,2280871,8670511,4866988,5165599,5711729,5061230,4049406,3670397,19366205,17829655,264768,1011851,2592702,500123,485583,3040079,773176,355353,264768,1266845,3901862,2653981,813062,123117,8605886,417749,35414431,1781429
23929,INDr111,10317846,40463316,3755652,2412616,2074939,1343877,730762,2.3100770257668124,19673616,16172947,2023117,1487918,1105718,11228979,6134914,699612,504666,315059,8444637,10038033,1323505,983252,790659,14123086,5249214,6126136,6205396,3814553,3291368,1653563,18883230,21580086,666028,1390980,7182883,933975,143980,0,0,0,666028,1746805,3766795,3462127,622533,53558,6198966,4118880,24479261,15984055
23930,INDr112,16602819,62600962,2881544,3004280,3611496,3396297,3709202,3.1233123724350667,20405596,23975858,8079422,6494145,3645941,12225054,10122719,2818240,2110388,934395,8180542,13853139,5261182,4383757,2711546,16913173,10101829,9916474,10383347,7739990,5637961,1908188,28210796,34390166,640922,2113482,11905445,1486939,456031,0,0,0,640922,2835845,8254231,4268247,569250,34324,11981757,4621062,45428445,17172517
23931,INDr113,422817,2423097,17506,16888,40040,82047,266336,4.331117244576259,644374,577881,389345,360363,451134,392117,325735,193628,163641,150180,252257,252146,195717,196722,300954,675393,393368,407759,321143,244188,190300,190946,1225301,1197796,0,6533,182951,6703,6089,193434,27107,0,0,6787,127739,153494,134797,0,337926,84891,1899792,523305
23932,INDr114,691438,3054155,62336,89195,135371,177185,227351,3.6045661360816155,1146985,1101780,270265,186800,348325,685186,502595,113145,78902,126593,461799,599185,157120,107898,221732,937388,654394,584991,304692,274382,211321,86987,1506421,1547734,52324,15513,275227,158416,0,84674,60395,44889,52324,70035,209128,206602,127485,25864,391105,300333,1729488,1324667
23933,INDr115,263277,1113070,18595,12505,7580,58894,165703,4.293713465285612,221770,524727,113619,97106,155848,136283,301284,46284,40115,53990,85487,223443,67335,56991,101858,261687,138535,232265,179119,99020,125023,77421,577956,535114,7876,7235,102394,17499,2509,63627,49386,12751,7876,29581,112580,71425,41815,0,149577,113700,613614,499456
23934,INDr116,400193,1694149,36535,54943,67243,72846,168626,3.70487239906745,285464,552011,325846,282839,247989,186128,305001,160167,125001,88835,99336,247010,165679,157838,159154,315664,388086,299514,182127,218893,197450,92415,865132,829017,41005,69355,185437,28565,12445,37735,10921,14730,41005,82927,130696,89398,50511,5656,268768,131425,1102753,591396
23935,INDr117,9670225,44844458,2928922,2673076,1947952,1140846,979429,2.438356811759809,20125352,18007845,3213339,1724590,1773332,12246332,8004363,1282697,710058,653586,7879020,10003482,1930642,1014532,1119746,12679891,7880750,6878664,5925407,4650410,3671544,3157792,22897036,21947422,322824,600741,3772278,476536,347955,3254194,722074,173623,322824,823689,3579519,3305550,1440602,198041,7120460,2549765,32775137,12069321
23936,INDr118,6165628,28876195,363859,654710,1128593,1673251,2345215,3.8079068344700655,10032679,9626124,4483165,3018997,1715230,6138751,4364164,1735429,1171053,570495,3893928,5261960,2747736,1847944,1144735,6960012,6525591,4247007,3790989,3227901,2174134,1950561,13979892,14896303,169376,323100,2356861,481723,105921,1901054,689037,138556,169376,442966,2194548,2305924,956427,96387,4827236,1338392,22640479,6235716
23937,INDr119,15041058,72437241,2278138,2597177,3259083,3425341,3481319,3.2150464415468645,39768757,21922036,4616801,3055434,3074213,22567317,9940095,1916819,1301247,1186649,17201440,11981941,2699982,1754187,1887564,24855066,14607232,10125913,7385738,6532691,5088732,3841869,36912127,35525114,534015,1055690,5460548,841741,662946,4941671,1062376,482071,534015,1422986,4512903,4964126,3044883,562145,9234173,5806885,45070183,27367058
23938,INDr120,126598,561996,8465,8522,28797,21246,59568,3.9078342469865244,183245,261115,59656,29254,28726,118173,133700,24765,12094,10757,65072,127415,34891,17160,17969,112067,121648,111448,77124,82561,31016,26132,299489,262507,1579,4202,64149,1974,4666,23984,14363,11681,1579,12340,60512,26501,24793,873,94268,32330,409594,152402
23939,INDr121,9390821,41027844,923265,978708,1908814,2810161,2769873,3.5883052184681192,13658763,13635835,5333012,3987430,4412804,8926343,6838626,2298893,1963609,1748389,4732420,6797209,3034119,2023821,2664415,8758035,7188150,7402695,6106728,4451063,2545064,4576109,21775860,19251984,0,0,1091904,1354528,487228,4307499,1439730,709932,0,1165279,3962295,3263272,930262,69713,8141702,1249119,35521854,5505990
23940,INDr122,23612044,98297859,6090987,5965879,4457421,3598136,3499621,2.6802278108578825,42976112,38303640,7165428,4393340,5459339,26217286,16102739,2757823,1762163,1896132,16758826,22200901,4407605,2631177,3563207,25868697,18237612,15251270,14577348,11431033,7315748,5616151,48736143,49561716,840830,1763315,10323534,1633618,691835,6252709,1628281,477922,840830,2653429,11230339,6369326,2315271,202849,22668470,943574,94325689,3972170
23941,INDr123,8639174,51384555,1618109,1738844,1419296,1863159,1999766,3.1027446605427786,24130500,15343386,4214471,3906753,3789445,13986434,8295086,2144463,1947940,1612015,10144066,7048300,2070008,1958813,2177430,18699038,11202141,6484804,3215028,3726851,3042205,5014488,27985938,23398617,0,0,0,0,0,3600511,3830727,1207936,0,236124,1294426,2299468,3815006,994150,8168840,470334,48598975,2785580
23942,INDr124,3874655,19849332,114257,264912,569529,943870,1982087,4.1393576976530815,5931239,6521362,2701755,2439329,2255647,3517325,3228212,1137964,1000578,774885,2413914,3293150,1563791,1438751,1480762,5559457,4846842,3021434,2620844,2134803,1102711,563241,9658964,10190368,95550,97434,1837477,221621,45338,1110441,391021,75773,95550,184792,1270361,1534345,706452,83155,3868897,5758,19818643,30689
23943,INDr125,274245,1196074,12719,25225,54825,32051,149425,4.021852722930227,398334,376139,140160,148882,132559,249811,203627,66829,67573,49072,148523,172512,73331,81309,83487,345118,249740,152099,227376,133707,57146,30888,636912,559162,8035,52925,140709,27246,3959,25736,11689,3946,8035,58570,95810,76199,31194,4437,107142,167103,454375,741699
23944,INDr126,913447,3804081,94122,249334,223058,194396,152537,3.067756531030262,1187662,1797289,381310,253565,184255,728001,831117,140067,95750,61198,459661,966172,241243,157815,123057,892454,702933,683790,537688,478588,310327,198301,1856133,1947948,8570,62164,475944,30446,10661,282878,27397,15387,8570,87493,452145,331807,33432,0,773571,139876,3195162,608919
