,GDLCODE,Nr_households,Nr_individuals,ECONSIT_1,ECONSIT_2,ECONSIT_3,ECONSIT_4,ECONSIT_5,ECONSIT_AVG,EDU_1,EDU_2,EDU_3,EDU_4,EDU_5,EDUF_1,EDUF_2,EDUF_3,EDUF_4,EDUF_5,EDUM_1,EDUM_2,EDUM_3,EDUM_4,EDUM_5,AGE_1,AGE_2,AGE_3,AGE_4,AGE_5,AGE_6,AGE_7,GENDER_0,GENDER_1,HHTYPE_1,HHTYPE_2,HHTYPE_3,HHTYPE_4,HHTYPE_5,HHTYPE_6,HHTYPE_7,HHTYPE_8,HHSIZE_1,HHSIZE_2,HHSIZE_3,HHSIZE_4,HHSIZE_5,HHSIZE_6,RURALHH_0,RURALHH_1,RURALINDI_0,RURALINDI_1
225,AFGr101,1448009,6594085,251277,268800,291173,317804,318955,3.1273196506375305,3889432,1410080,709256,463706,121611,2025288,735046,342748,217907,54303,1864144,675034,366508,245799,67308,2564304,1313173,965651,680266,491646,315475,263570,3375292,3218793,134053,82636,519529,139908,43015,279937,146744,102187,134053,167466,493944,384932,235258,32356,1354651,93358,6121838,472247
226,AFGr102,171202,831828,33957,33715,32379,32810,38341,3.045928201773344,604092,140321,48495,33514,5406,311142,71766,23015,15920,2336,292950,68555,25480,17594,3070,371406,161479,112175,74577,49764,32285,30142,424179,407649,13792,7911,57166,17518,6087,37367,17988,13373,13792,18644,52547,43787,35315,7117,138626,32576,660884,170944
227,AFGr103,563629,2788188,115989,115404,111902,102974,117360,2.9828113883423315,2092744,430321,148304,101647,15172,1075191,221477,71094,48049,6591,1017553,208844,77210,53598,8581,1265246,535227,372682,247469,161995,104922,100647,1422402,1365786,45793,27117,191495,56358,20513,121846,57196,43311,45793,60565,169536,142569,120500,24666,444549,119080,2157131,631057
228,AFGr104,1343130,6450171,270421,277175,285389,273146,236999,2.9472329558568418,4285009,1284476,507147,313192,60347,2221361,665496,243391,146873,26794,2063648,618980,263756,166319,33553,2781956,1251764,881660,600741,415729,270270,248051,3303915,3146256,113455,65069,457013,136418,47109,282914,138238,102914,113455,147058,426226,354030,258943,43418,1070385,272745,5038379,1411792
229,AFGr105,969107,4935761,208226,199411,191454,183666,186350,2.938606366479656,3868129,662245,222774,161026,21587,1976808,341731,107681,76476,9403,1891321,320514,115093,84550,12184,2292178,944174,647512,427867,273448,177704,172878,2512099,2423662,78814,46857,330767,96129,34844,211707,96955,73034,78814,99843,278107,241505,220700,50138,765936,203171,3840461,1095300
230,AFGr106,857532,4451069,197634,181158,167977,151063,159700,2.8764325995997817,3729026,421136,165410,120446,15051,1900645,217874,80908,58303,6547,1828381,203262,84502,62143,8504,2104341,842875,574837,379751,238842,156642,153781,2264277,2186792,70176,42796,294175,84268,31263,186934,84988,62932,70176,85692,237396,209027,204192,51049,616300,241232,3138638,1312431
231,AFGr107,758176,3706983,164644,164581,161158,134952,132841,2.8770272337821297,2653270,646814,225667,155242,25990,1367366,333107,107857,72763,11386,1285904,313707,117810,82479,14604,1660886,715109,496228,332673,221809,143999,136279,1892479,1814504,62085,35882,257504,76145,27434,161855,78013,59258,62085,82111,234331,195116,154919,29614,521956,236220,2477727,1229256
232,AFGr108,917441,4657854,194316,187977,181740,173912,179496,2.9523620592495865,3598685,663129,218908,154844,22288,1841420,342130,105573,73545,9735,1757265,320999,113335,81299,12553,2157055,895422,614349,404099,257973,166769,162187,2372403,2285451,74385,44319,312992,91083,32988,200388,92031,69255,74385,95845,264581,228365,207225,47040,736344,181097,3681872,975982
574,AGOr201,139382,569599,20436,23917,26214,31437,37378,3.2970541389849477,246550,124721,74647,96758,26923,135205,64872,35790,41802,8667,111345,59849,38857,54956,18256,188674,114052,89888,68931,50314,31913,25827,286336,283263,14832,10777,55732,12797,3520,21805,12219,7700,14832,18901,53764,35005,15375,1505,125492,13890,507588,62011
575,AGOr202,121582,545365,23291,23752,24899,25676,23964,3.0268954285996283,309528,116040,65216,42704,11877,168227,57506,30043,18428,4062,141301,58534,35173,24276,7815,208681,109135,80697,57441,41250,26449,21712,278266,267099,12000,7178,44399,11544,3774,22201,12218,8268,12000,13972,41970,31874,19190,2576,99128,22454,433348,112017
576,AGOr203,342656,1625478,77139,74450,71135,64237,55695,2.845031168285394,1013955,343612,155086,91813,21012,549629,167572,70846,38961,7134,464326,176040,84240,52852,13878,674650,320699,228568,156600,109708,71018,64235,834142,791336,31307,17424,117034,35310,12147,66784,35995,26655,31307,37980,111595,90308,62265,9201,239348,103308,1091266,534212
577,AGOr204,2206848,8914870,283199,342186,415895,523080,642488,3.4075822168087697,3613471,1920442,1178314,1755562,447081,1973705,984684,583416,769980,148747,1639766,935758,594898,985582,298334,2798859,1732230,1413693,1136452,847110,537422,449104,4460532,4454338,242083,209630,938526,199056,48703,300541,164326,103983,242083,323348,873447,542816,209530,15624,2182982,23866,8803102,111768
578,AGOr205,92719,437461,20727,19756,19618,17893,14725,2.8504405785222016,286336,86633,38279,21845,4368,154788,41710,17347,9183,1478,131548,44923,20932,12662,2890,186171,85242,60311,41745,28666,18677,16649,224506,212955,8452,4368,30890,9533,3502,18720,10074,7180,8452,10122,29932,24174,17344,2695,69643,23076,317712,119749
579,AGOr206,367233,1912436,101074,88032,77356,58878,41893,2.5983040739802794,1537144,211218,92258,63544,8272,804313,99011,41725,26000,2865,732831,112207,50533,37544,5407,890095,369551,249134,165162,104407,67793,66294,973914,938522,32489,18268,123722,38643,14259,72408,38222,29222,32489,37933,104778,89257,84354,18422,225964,141269,1103884,808552
580,AGOr207,240416,1134789,55366,52990,49304,44575,38181,2.8220376347664047,694364,238234,116749,69027,16415,377115,117145,53203,29320,5546,317249,121089,63546,39707,10869,464782,223583,161674,111111,78176,50485,44978,582329,552460,22281,12679,82340,24596,8444,46310,25370,18396,22281,26778,78463,63223,43036,6635,160813,79603,726747,408042
581,AGOr208,156035,761378,34800,33272,33221,30225,24517,2.8486685679494985,518808,142109,58821,35235,6405,278777,67745,26599,14481,2217,240031,74364,32222,20754,4188,334247,149085,103768,68909,46865,30122,28382,389819,371559,13413,7415,51401,16435,6016,31917,16839,12599,13413,17271,48564,40087,31052,5648,122408,33627,579893,181485
582,AGOr209,519607,2484636,113837,111364,107848,101934,84624,2.8694089956447852,1594163,502328,226465,133354,28326,861319,243235,103458,56276,9625,732844,259093,123007,77078,18701,1033999,489240,348826,238527,168156,108602,97286,1273913,1210723,47162,26298,178650,54271,18279,100793,54020,40134,47162,57769,167596,137369,95804,13907,386138,133469,1782093,702543
583,AGOr210,447626,2147914,114919,104994,90339,75021,62353,2.6981743687810806,1401527,424234,190573,110770,20810,754032,206088,86974,46365,7032,647495,218146,103599,64405,13778,913265,420061,297867,202721,140587,90665,82748,1100491,1047423,39769,21359,152093,46137,16088,89884,46554,35742,39769,49827,143998,117703,84169,12160,265288,182338,1203649,944265
584,AGOr211,281239,1390505,73684,65702,58356,47103,36394,2.6686839307492916,994673,235590,92794,58163,9285,528339,111848,41826,24004,3137,466334,123742,50968,34159,6148,619522,270284,187790,125118,82717,53599,51475,709154,681351,23663,13206,95562,29286,10678,56412,29729,22703,23663,31073,87179,72062,56888,10374,172132,109107,806495,584010
585,AGOr212,133470,652490,30011,28753,28164,26184,20358,2.8361054918708324,460063,115436,43705,28476,4810,245580,54525,19565,11898,1641,214483,60911,24140,16578,3169,290418,126728,88340,58737,39110,25073,24084,333209,319281,11518,6381,44619,13854,5165,27033,14212,10688,11518,14682,41288,34031,26948,5003,106193,27277,503745,148745
586,AGOr213,88401,434282,21978,19918,18733,15782,11990,2.7272429044920306,319070,68892,26441,17342,2537,169577,32278,11843,7260,894,149493,36614,14598,10082,1643,195871,83900,58215,38688,25345,16415,15848,221852,212430,7547,4154,29715,9212,3405,18071,9582,6715,7547,9369,27357,22467,18184,3477,62752,25649,295289,138993
587,AGOr214,89851,404054,19180,18923,18464,17525,15759,2.9082926177783217,239868,84653,44103,28388,7042,130577,41782,19977,12023,2379,109291,42871,24126,16365,4663,158212,80192,59079,41815,29655,19054,16047,206738,197316,8771,4949,31576,8820,2887,16791,9592,6465,8771,10264,30649,23746,14520,1901,66190,23661,288219,115835
588,AGOr215,520052,2514991,134806,122499,106561,86000,70186,2.6813030235437996,1662564,492785,209415,126559,23668,894140,239309,95759,53026,8026,768424,253476,113656,73533,15642,1082945,489614,346769,234003,161065,104022,96573,1290260,1224731,46480,25068,177116,53871,18931,103149,54263,41174,46480,57922,165202,135543,99907,14998,299876,220176,1366571,1148420
589,AGOr216,206130,997365,57479,51110,41543,31414,24584,2.585281133265415,674560,185924,80582,47609,8690,362433,90609,36169,19809,2932,312127,95315,44413,27800,5758,433572,196127,136350,91477,61927,40248,37664,511952,485413,19092,9765,67946,21803,7752,41008,21979,16785,19092,22518,65009,52376,40162,6973,99472,106658,447562,549803
590,AGOr217,113090,523598,21012,21810,23839,24595,21834,3.0391634980988593,315860,111715,55233,32731,8059,172220,54796,25184,13833,2766,143640,56919,30049,18898,5293,214009,103423,74767,51592,36022,23352,20433,268799,254799,10526,6036,38680,11465,3970,21885,12036,8492,10526,12726,37469,29742,19644,2983,98445,14645,449312,74286
591,AGOr218,93039,431623,24108,22298,18743,15061,12829,2.679757950966799,262209,90376,45925,26573,6540,142349,45065,20406,11224,2248,119860,45311,25519,15349,4292,177954,84911,60749,42778,29743,18910,16578,221292,210331,9127,4794,31472,9399,3105,18136,10087,6919,9127,10189,30220,24557,16430,2516,49368,43671,216964,214659
994,ALBr201,41217,136174,7951,8252,8180,8390,8444,3.0272703010893562,41089,22513,23271,33823,15478,21221,11761,10727,17052,8677,19868,10752,12544,16771,6801,32839,22625,20430,18785,16505,12354,12636,69438,66736,6609,5437,15096,3717,849,4652,3034,1823,6609,8083,17305,7233,1848,139,24057,17160,79619,56555
995,ALBr202,37833,134095,7205,7667,7700,7575,7686,3.0229957973198003,45653,21214,19636,35223,12369,23273,10726,8951,17869,7022,22380,10488,10685,17354,5347,35126,23750,20352,18584,15209,10482,10592,67841,66254,4464,4233,14769,3615,868,4892,3132,1860,4464,6956,16136,7709,2369,199,10919,26914,38919,95176
996,ALBr203,84557,270157,16706,16676,16706,16983,17486,3.0220797805030926,74859,44100,47913,69961,33324,39149,23574,22587,35395,18361,35710,20526,25326,34566,14963,61778,43196,40754,36878,33457,26604,27490,139066,131091,14886,12395,30193,7590,1681,8575,5510,3727,14886,18356,34299,13473,3285,258,67723,16834,215458,54699
997,ALBr204,89175,299070,17556,17557,17843,17998,18221,3.0198598261844687,92137,49455,50238,74719,32521,47855,25903,23254,37883,18188,44282,23552,26984,36836,14333,73234,51112,45686,40804,35355,26580,26299,153083,145987,13816,11920,32737,8116,1834,10211,6499,4042,13816,17608,36816,16289,4322,324,46635,42540,156201,142869
998,ALBr205,87992,300546,17235,17342,17745,17586,18084,3.0220701881989274,95532,49501,49049,76667,29797,49532,25846,22790,38759,16615,46000,23655,26259,37908,13182,74539,52512,45164,41186,35767,25543,25835,153542,147004,12740,11495,32997,8088,1947,10317,6508,3900,12740,17052,36296,16895,4631,378,39008,48984,133388,167158
999,ALBr206,22285,72309,4439,4425,4461,4545,4415,3.003230872784384,20732,11653,12590,18755,8579,10597,6041,5902,9611,4848,10135,5612,6688,9144,3731,17241,11894,10799,9727,8963,6932,6753,36999,35310,3558,2941,8095,2097,463,2437,1617,1077,3558,4657,9420,3674,892,84,9827,12458,32265,40044
1000,ALBr207,71879,234204,14053,14262,14350,14569,14645,3.020743193422279,70120,38270,39475,58911,27428,36386,20110,18216,29882,15178,33734,18160,21259,29029,12250,55352,38737,34984,32339,28540,22015,22237,119772,114432,11947,9958,25937,6571,1445,7826,4921,3274,11947,15088,29370,12192,3042,240,38920,32959,127016,107188
1001,ALBr208,22788,79776,4418,4533,4716,4505,4616,3.016148850272073,27458,12677,11850,20421,7370,14073,6400,5366,10416,4179,13385,6277,6484,10005,3191,21089,14095,12199,10922,8939,6429,6103,40434,39342,2680,2586,8939,2216,507,2837,1948,1075,2680,4271,9881,4508,1332,116,6590,16198,23233,56543
1002,ALBr209,36411,124118,7064,7337,7302,7202,7506,3.0205707066545826,40080,20634,20422,31151,11831,20700,10692,9273,15955,6730,19380,9942,11149,15196,5101,31480,21475,18776,16852,14671,10546,10318,63350,60768,5074,4613,13902,3402,797,4216,2761,1646,5074,6981,15344,6972,1883,157,17860,18551,61044,63074
1003,ALBr210,69802,230622,13577,13769,13992,14065,14399,3.027792899916908,69594,37280,39071,57953,26724,35912,19529,18191,29405,14855,33682,17751,20880,28548,11869,55645,38762,34870,31578,27645,20952,21170,117892,112730,11378,9589,25137,6348,1420,7785,4933,3212,11378,13934,28725,12324,3178,263,38114,31688,125942,104680
1004,ALBr211,280807,827111,55207,55257,55565,57295,57483,3.0234680759382777,186929,111166,136283,263965,128768,98223,60749,65973,133893,70467,88706,50417,70310,130072,58301,169821,119518,118363,116269,107045,93528,102567,429305,397806,61998,49155,92018,24275,4444,22947,13608,12362,61998,69433,106433,35128,7246,569,255229,25578,749640,77471
1005,ALBr212,54441,172399,10635,10956,11117,10734,10999,3.00929446556823,47320,28013,30288,43716,23062,24607,14827,14130,22155,12979,22713,13186,16158,21561,10083,39367,27757,25534,24025,21400,17085,17231,88698,83701,9814,7826,19457,5000,995,5381,3448,2520,9814,11875,22064,8434,2083,171,30860,23581,98285,74114
1409,ARGr101,1376708,3341376,282138,274970,273147,272437,274016,2.9863609421896293,651532,394346,539223,1154651,601624,335583,200181,270861,591232,317122,315949,194165,268362,563419,284502,575033,391501,410095,452869,473172,448156,590550,1714979,1626397,439305,339436,349086,95388,15438,46308,27001,64746,439305,426496,404664,92774,13018,451,1376708,0,3341376,0
1410,ARGr102,6156893,17177805,1208675,1215187,1229247,1242604,1261180,3.021508738254831,3670833,2296634,2812321,5742680,2655337,1908962,1181765,1417450,2976167,1422325,1761871,1114869,1394871,2766513,1233012,3351236,2283983,2357493,2402567,2291398,2105977,2385151,8906669,8271136,1548557,1250846,1895372,505298,86673,382272,215201,272674,1548557,1679555,2155091,648013,118895,6782,5638007,518886,15964685,1213120
1411,ARGr103,507368,1343977,102525,101964,101793,101533,99553,2.987435155547847,262276,160338,213605,489216,218542,135393,81508,107824,254634,117059,126883,78830,105781,234582,101483,243754,174469,174330,185348,186369,172379,207328,696418,647559,133865,104406,147708,41130,7540,28651,17349,26719,133865,145948,174181,45079,7846,449,360792,146576,1011996,331981
1412,ARGr104,1314341,3453720,265093,264905,263528,262331,258484,2.9879848532458473,675600,400376,530149,1281132,566463,350058,204321,266739,664871,302906,325542,196055,263410,616261,263557,626769,430789,445040,479118,478862,443027,550115,1788895,1664825,355486,278149,378687,105025,18488,70432,41812,66262,355486,384758,440429,114312,18301,1055,981479,332862,2710714,743006
1413,ARGr105,1221093,3542699,239904,245233,245735,247292,242929,3.0066407718331036,793101,475858,570190,1162206,541344,410666,243596,286853,603112,292107,382435,232262,283337,559094,249237,723206,504740,497487,495428,465517,407069,449252,1836334,1706365,280537,223839,389490,100805,19556,96319,54923,55624,280537,308268,452426,148561,29247,2054,856985,364108,2643354,899345
1414,ARGr106,563225,1656285,109935,113471,113370,113948,112501,3.0099587198721647,380024,228398,275654,514441,257768,197234,116484,139265,266486,139384,182790,111914,136389,247955,118384,343094,242539,233733,231179,215652,186722,203366,858853,797432,123996,97902,183873,47300,8971,46884,27354,26945,123996,139444,213020,71068,14657,1040,407017,156208,1266137,390148
1415,ARGr107,845447,2188414,170583,169345,168979,168409,168131,2.9930924114699087,420720,247095,330891,825317,364391,217660,126074,166951,428712,194477,203060,121021,163940,396605,169914,390977,273690,280562,302413,305439,282764,352569,1133874,1054540,231335,179814,240890,68187,11737,42692,26235,44557,231335,254215,279837,68303,11144,613,675723,169724,1817510,370904
1416,ARGr108,734108,2006059,146072,147465,147406,147408,145757,2.9990641703945466,412130,256544,321858,696193,319334,213408,131308,162250,361767,171461,198722,125236,159608,334426,147873,389238,269974,270736,279041,269806,246419,280845,1040194,965865,186581,148252,221990,58275,11147,45271,26629,35963,186581,201299,259041,73007,13395,785,578575,155533,1648717,357342
1417,ARGr109,1015374,2629434,205882,204405,203169,202160,199758,2.985726441685527,506730,297900,398364,987726,438714,262132,152116,200762,513971,234584,244598,145784,197602,473755,204130,467103,324237,332986,363756,368569,342222,430561,1363565,1265869,278550,216799,289285,81402,14046,51284,30824,53184,278550,305258,334392,83412,13004,758,764750,250624,2077932,551502
1418,ARGr110,1293226,3310312,263878,260396,258298,256606,254048,2.981867051853272,640470,365151,496209,1258756,549726,331454,186157,249552,654801,293424,309016,178994,246657,603955,256302,586550,401850,417005,458104,462890,434552,549361,1715388,1594924,366613,284438,360434,100931,17557,60407,36000,66846,366613,388732,418640,102673,15670,898,1002649,290577,2680943,629369
1419,ARGr111,883019,2481548,175750,178045,178019,177061,174144,2.995248120368871,536812,336610,402492,818887,386747,277972,171542,202523,424580,208338,258840,165068,199969,394307,178409,494711,342688,340928,345262,330300,295810,331849,1284955,1196593,213165,169995,276525,71479,13655,61395,35492,41313,213165,234292,320047,96222,18122,1171,622337,260682,1857796,623752
1769,ARMr101,34601,144935,10459,8118,5814,5226,4984,2.5999537585618913,32796,0,15479,80159,16501,15707,0,6788,41475,8596,17089,0,8691,38684,7905,31875,28594,21490,17898,21295,11133,12650,72566,72369,3494,2227,12171,2814,393,8543,4206,753,3494,4078,11348,11681,3772,228,12099,22502,46079,98856
1770,ARMr102,61259,266700,10314,11569,12487,13606,13283,3.1301849524151555,58010,0,27766,153452,27472,27811,0,12310,80895,14334,30199,0,15456,72557,13138,56780,51543,41648,30223,41271,22114,23121,135350,131350,5124,3736,20013,4716,668,17167,7919,1916,5124,6865,19742,20860,8189,479,51185,10074,217664,49036
1771,ARMr103,60212,264658,11013,11928,12071,12735,12465,3.0616322327775194,58977,0,29763,148218,27700,28369,0,13274,78421,14557,30608,0,16489,69797,13143,56827,49686,42148,30751,41211,21135,22900,134621,130037,4637,3475,19510,3891,540,17993,8327,1839,4637,6238,20829,19813,8162,533,46065,14147,195786,68872
1772,ARMr104,49540,227310,10809,10063,9455,9586,9627,2.9426524020993137,51771,0,22277,131895,21367,24601,0,9833,66705,10844,27170,0,12444,65190,10523,50081,45918,35090,28098,32633,17090,18400,111983,115327,4025,2335,16927,3224,499,13930,7227,1373,4025,4502,15545,16887,7509,1072,32154,17386,139529,87781
1773,ARMr105,59800,211782,14256,12800,11652,10697,10395,2.835702341137124,45101,0,23967,114055,28659,21999,0,10925,63046,15525,23102,0,13042,51009,13134,43687,35819,31059,25125,32290,20206,23596,111495,100287,10081,5696,18810,5501,813,10737,6138,2024,10081,9938,21577,14681,3416,107,36488,23312,121548,90234
1774,ARMr106,73980,299231,13257,14677,15240,15607,15199,3.06507164098405,65670,0,30845,162331,40385,31529,0,13667,86485,21477,34141,0,17178,75846,18908,63985,53785,48301,34368,46763,26655,25374,153158,146073,8267,5044,24352,5476,1192,20661,6957,2031,8267,9288,26398,22358,7381,288,58307,15673,228208,71023
1775,ARMr107,64529,249872,14483,13440,12594,12158,11854,2.8986502192812535,50850,0,21838,139749,37435,24433,0,9837,74391,19964,26417,0,12001,65358,17471,50860,48374,36785,30266,38308,21936,23343,128625,121247,8595,4236,20953,6024,895,14573,7281,1972,8595,8280,23233,19152,5084,185,41931,22598,154211,95661
1776,ARMr108,36218,132294,8418,7672,6932,6694,6502,2.8671931083991384,26313,0,11122,77548,17311,12609,0,4819,40612,9174,13704,0,6303,36936,8137,27250,21709,20708,16587,19022,12777,14241,67214,65080,5290,3370,11589,3286,598,7466,3297,1322,5290,5755,13402,9234,2452,85,23027,13191,80312,51982
1777,ARMr109,15057,60411,4590,3832,2456,2081,2098,2.55269974098426,13100,0,5130,35262,6919,6430,0,2207,17940,3576,6670,0,2923,17322,3343,12451,11327,8695,6935,9234,5375,6394,30153,30258,1790,1235,5040,966,151,3734,1717,424,1790,2012,4899,4714,1604,38,4134,10923,15198,45213
1778,ARMr110,36410,140845,9547,8056,6760,6252,5795,2.744355946168635,33326,0,18894,72510,16115,16356,0,8544,39350,8685,16970,0,10350,33160,7430,29676,22849,21483,16059,20498,13030,17250,72935,67910,4815,3431,10180,2884,672,9040,4209,1179,4815,5892,11688,10599,3279,137,18300,18110,65751,75094
1779,ARMr111,247380,917708,40836,46024,52243,53460,54817,3.143091599967661,156943,0,48735,428774,283256,75743,0,23232,238037,155848,81200,0,25503,190737,127408,168719,151933,152460,112515,130996,101978,99107,492860,424848,31690,17473,74256,24807,3920,56128,24496,14610,31690,38765,98902,60517,16766,740,245849,1531,911231,6477
2069,AUSr101,3510016,7395277,1003019,782917,615470,543954,564656,2.6821413349682737,534954,458027,1378443,2473605,2550248,257577,222900,671540,1228642,1290466,277377,235127,706903,1244963,1259782,70639,1779093,697740,825134,926862,1854884,1240925,3671125,3724152,1211655,1234127,578700,216545,37417,726,34042,196804,1211655,1504865,708052,85444,0,0,2890795,619221,6141594,1253683
2070,AUSr102,2828137,5862776,786860,659032,541062,433895,407288,2.6519684159572186,489894,311694,962330,1921887,2176971,234264,154188,472473,968388,1117737,255630,157506,489857,953499,1059234,45998,1541989,678033,609145,614763,1444570,928278,2947050,2915726,974350,989725,468238,175064,23379,345,29947,167089,974350,1215592,575563,62632,0,0,2401471,426666,5005773,857003
2071,AUSr103,2220236,4586061,665225,541783,411314,370820,231094,2.5319303893820297,365883,177095,991730,1716275,1335078,173623,84578,479324,846772,672028,192260,92517,512406,869503,663050,43859,1163705,411657,529871,542818,1178522,715629,2256325,2329736,764086,894209,254697,110580,32660,504,16001,147499,764086,1072623,339996,43531,0,0,1702030,518206,3551558,1034503
2072,AUSr104,859576,1663962,266930,244264,151026,103626,93730,2.433397395925433,141901,86685,434384,546378,454614,65337,41334,214600,276740,230361,76564,45351,219784,269638,224253,17759,378912,144325,194634,190394,439082,298856,828372,835590,331038,316313,109814,46994,6070,16,2316,47015,331038,386640,120934,20964,0,0,677850,181726,1321254,342708
2073,AUSr105,1146507,2434138,277826,233783,226591,188037,220270,2.859697324133215,134316,134215,493105,888820,783682,63594,64491,239413,441573,397427,70722,69724,253692,447247,386255,30066,675395,250819,259406,279923,596925,341604,1206498,1227640,397036,454813,165004,34243,14047,215,10697,70452,397036,529861,166009,53601,0,0,936564,209943,2000491,433647
2074,AUSr106,265807,506762,90904,69692,51328,32291,21592,2.3377713905201896,44315,46389,130910,175264,109884,19528,21122,62822,89573,54754,24787,25267,68088,85691,55130,5561,96962,36033,58517,64497,151132,94060,247799,258963,101299,101589,36409,15015,1456,0,1441,8598,101299,118256,43408,2844,0,0,141633,124174,274882,231880
2075,AUSr107,117667,242431,18143,19263,23486,26471,30304,3.2679595808510458,9313,6878,38870,83077,104293,4276,3212,18582,39919,51622,5037,3666,20288,43158,52671,2961,70075,31984,26359,29225,56095,25732,117611,124820,38030,46984,15096,6134,1591,2,1073,8757,38030,55875,22179,1583,0,0,68173,49494,141217,101214
2076,AUSr108,191584,395914,29836,31468,40853,41940,47487,3.238923918490062,14906,11422,62736,136198,170652,6910,5264,30012,66470,83813,7996,6158,32724,69728,86839,4574,114219,52626,43169,47394,91572,42360,192469,203445,62223,77157,24521,9938,1905,0,1780,14060,62223,91431,35423,2507,0,0,186799,4785,385822,10092
2364,AUTr101,119363,290053,18441,27256,15750,31783,26133,3.1668104856613857,30484,1747,62770,171583,23469,15290,1119,36688,79960,12155,15194,628,26082,91623,11314,30085,39904,31084,32748,45219,48809,62204,145212,144841,34935,33822,31967,4430,5810,5574,0,2825,34935,38109,34644,8523,3152,0,25079,94284,55426,234627
2365,AUTr102,713104,1646003,108265,129853,141477,164998,168511,3.2182528775606363,257569,11943,259706,942059,174726,128466,7341,151676,454659,90055,129103,4602,108030,487400,84671,256349,180028,185181,196884,293722,198289,335550,832197,813806,228415,198583,204229,35193,6285,20100,6563,13736,228415,224027,217002,40324,3336,0,322115,390989,699510,946493
2366,AUTr103,927068,1816831,238009,211819,178582,149192,149466,2.7414288919475163,258737,28142,255872,881727,392353,129289,17542,144726,429012,206129,129448,10600,111146,452715,186224,256973,248443,274168,233809,333495,204872,265071,926698,890133,438421,208629,164427,55085,3900,14755,10601,31250,438421,259636,188005,35959,5047,0,922899,4169,1806969,9862
2367,AUTr104,260204,559095,52505,48419,52803,50497,55980,3.0346958540222286,83542,1244,74140,334395,65774,41749,745,44006,162694,33990,41793,499,30134,171701,31784,82959,63331,59016,67079,98390,80905,107415,283184,275911,97131,71168,71418,8052,640,4334,1231,6230,97131,79992,72432,9398,1251,0,83779,176425,167784,391311
2368,AUTr105,547278,1227048,125616,107464,101049,108323,104826,2.9255935740153998,190009,8313,229748,679563,119415,94280,5064,132939,316834,60657,95729,3249,96809,362729,58758,188970,154247,162667,137163,196331,167269,220401,609774,617274,201479,133864,136449,25724,8881,18275,5712,16894,201479,162917,143364,34566,4952,0,251959,295319,527807,699241
2369,AUTr106,640097,1446026,114330,113806,151020,129675,131266,3.0777085348001942,231987,15364,256884,815118,126673,115738,9082,147138,390603,65020,116249,6282,109746,424515,61653,230875,190477,166403,196085,243179,164080,254927,727581,718445,223946,165942,188217,34993,3363,9364,3169,11103,223946,194856,178909,39176,3210,0,328272,311825,702489,743537
2370,AUTr107,240779,541967,41204,48365,52435,52518,46257,3.059220280838445,83475,3737,92801,304991,56963,41874,2124,52424,148150,30049,41601,1613,40377,156841,26914,82912,76785,78759,54816,95128,71437,82130,274621,267346,80439,62537,78219,12997,0,2542,0,4045,80439,72065,78181,9862,232,0,136000,104779,293117,248850
2371,AUTr108,310067,734147,59100,58708,63018,64427,64814,3.0553009510847655,125921,4160,142401,389550,72115,63779,2613,83805,195472,39419,62142,1547,58596,194078,32696,125155,122171,75811,99188,135135,74960,101727,385088,349059,96900,73483,90122,23001,1404,5957,1921,17279,96900,92833,96666,21507,2161,0,179799,130268,408390,325757
2372,AUTr109,157904,382073,29257,34903,28171,30626,34947,3.044983027662377,79578,5954,65866,188448,42227,40443,3707,38162,95876,22607,39135,2247,27704,92572,19620,78913,48094,48313,61112,56992,38443,50206,200795,181278,51325,40436,47965,9806,1498,1776,1655,3443,51325,46864,40265,18841,609,0,124895,33009,294750,87323
2614,AZEr101,917903,2801483,159870,174411,197202,190875,195545,3.0956680607863793,667584,400421,470409,838296,424773,343517,187265,236712,452250,230444,324067,213156,233697,386046,194329,601878,413218,399957,389363,355949,308248,332870,1450188,1351295,200929,163283,292801,81551,13855,79888,44051,41545,200929,236522,345373,105868,27407,1804,886774,31129,2707780,93703
2615,AZEr102,184115,619400,34063,36837,37956,37509,37750,3.0437009477772046,177993,103893,106836,156583,74095,92126,47836,53779,83195,40125,85867,56057,53057,73388,33970,152516,100332,92728,84261,73396,57148,59019,317061,302339,32008,27690,63463,16480,3446,20131,12578,8319,32008,41070,74085,28558,7813,581,171142,12973,579702,39698
2616,AZEr103,342065,1358221,72248,71292,64644,66790,67091,2.956686594653063,542962,279301,187618,263971,84369,279115,124975,94069,137268,45270,263847,154326,93549,126703,39099,415198,259882,214032,175350,133410,84456,75893,680697,677524,38841,34492,129730,30585,8427,51454,30747,17789,38841,54607,138179,75579,31599,3260,271734,70331,1111033,247188
2617,AZEr104,187950,693040,39423,37658,36827,37523,36519,2.9683798882681565,238435,110952,103257,175152,65244,124105,50815,51215,90439,35170,114330,60137,52042,84713,30074,187451,120961,105929,92939,77048,54531,54181,351744,341296,23732,22837,71655,18054,3959,23862,15379,8472,23732,36640,78375,36449,11749,1005,114363,73587,445195,247845
