"GDLCODE,""X1est"",""X2est"",""X3est"",""X4est"",""X5est"""
AUTr102,324181.646801882,188512.874148174,256188.014831016,554879.822618569,321746.641600358
AUTr103,311780.689441573,139892.306993116,228939.367391217,639471.50578933,496917.130384763
AUTr104,106800.687344361,57797.174469837,83556.5700105741,185164.317383711,126144.250791517
AUTr105,226796.149743601,115416.209826908,172446.935370059,412758.908992482,299642.79606695
AUTr106,268252.897047293,154825.192215685,223631.686430665,472338.317364209,327276.906942147
AUTr107,93774.6607170104,42097.5693769758,68134.509925402,190578.2408305,147682.019150112
AUTr108,130063.906241852,57931.0657825404,93097.1649606652,255000.846363694,197696.016651248
AUTr109,70702.623039078,39344.7157840059,56944.5094325009,125652.167744957,88937.9839994584
AZEr101,665729.939589372,400666.988876337,469609.628589265,839736.2961463,425750.146798725
AZEr102,177127.324979126,103870.60727741,107097.552480569,157602.472384692,73790.042878203
AZEr103,546689.256085018,280581.778803656,186576.804813601,262084.468702363,82115.6915953623
AZEr104,239536.077316722,111437.213986688,101845.193336058,175999.782011486,64100.7333490464
AZEr105,328201.664575893,174404.209759059,111656.643890474,158680.088866971,46576.3929076026
AZEr106,192672.724609284,88230.1193915621,66359.0323157068,108086.443359453,33776.6803239944
AZEr107,938214.278080161,489879.80601093,309197.365924195,462416.030316844,121151.519667869
AZEr108,98692.8732521881,51848.5495684761,31562.2141955179,48342.4074937176,12330.9554901004
AZEr109,122424.786978683,61598.9777247041,41597.9786742067,60542.0986445081,19334.1579778982
BDIr101,2546645.42260306,261580.085920689,108859.057895494,76199.7120663308,9314.7215144246
BDIr102,1159621.0849299,221472.159458476,73866.6406361022,52303.1806490085,7423.9343265144
BDIr103,1047251.23657432,118770.64440493,46850.2155744069,33514.3488118491,4071.55463449838
BDIr104,1768202.1068572,372724.93537244,128833.797096673,87108.2907716581,12862.8699020252
BDIr105,1664149.73562662,209675.774587705,81155.5613598048,60033.8300216117,7666.09840425482
BELr101,202837.543190339,89760.5267902228,152999.857708321,427838.929043748,319263.143267369
BELr102,314274.456742568,135590.73757418,232377.628247972,651464.732365907,489291.445069373
BELr103,160581.922134812,70927.1953080834,118590.151310634,306295.134021049,207805.597225422
BELr104,272959.010233257,113021.080604591,198027.948383414,530040.217901548,370050.742877191
BELr105,193018.623151147,82184.9266572718,142696.393744915,401147.971974397,299552.084472269
BELr106,214466.977064128,90286.1278200364,157709.572551956,422547.01227156,297690.31029232
BELr107,68420.1548355663,29735.9875034704,51174.2532625278,143217.968002229,103451.636396206
BELr108,260503.96675825,155844.588608902,214598.7410837,463361.119163697,245191.584385452
BELr109,212921.871801152,114825.752624488,166814.744478885,384109.360492817,222528.270602658
BELr110,55031.7306307984,28510.6874977238,42630.682428401,97235.9400441121,58390.9593989646
BELr111,95788.0194265672,49625.5933911764,74202.8024525575,169248.504583524,101635.080146175
BENr101,1176669.03241735,243414.800613485,84318.5746932193,57339.8787633362,8309.71351260687
BENr102,1047072.04025103,465133.168557366,250698.516747448,250687.319273174,68700.9551709833
BENr103,1805491.24136168,255501.771163069,93742.7001094176,70549.4447388268,9103.84262700668
BENr104,816478.405520838,255204.542278877,109759.062087538,66246.869749885,13919.120362863
BENr105,1044915.23248695,383380.678177276,184793.302956744,109807.700643765,28227.0857352622
BENr106,1084992.99671257,339133.453168531,145855.435839422,88033.4240890349,18496.6901904428
BFAr101,1679880.53139351,200094.832567854,80536.1492122068,60208.6234316362,7126.863394797
BFAr102,585557.212703711,77329.2638028268,29233.971571906,22059.1159770643,2820.43594449198
BFAr103,1186479.68047098,476919.111865565,255780.072013643,195711.299621073,60919.8360287432
BFAr104,1146782.21325946,142308.852237392,55865.4684176268,41910.8808945339,4933.58519098382
BFAr105,1159127.97972438,138066.674798158,55570.4421752472,41544.3233825718,4917.57991964464
BFAr106,1141035.41424688,143669.681595746,56522.5939888273,42056.6528418348,5257.65732671134
BFAr107,723404.894000046,95533.5647324544,36116.0235880756,27252.1149239048,3484.40275551952
BFAr108,1424680.13596814,169697.265931654,68301.4356472235,51061.9822148202,6044.1802381644
BFAr109,1511585.83998795,287729.138112234,96394.9624749973,68790.541352925,9557.51807189443
BFAr110,1113744.66285409,134019.04693814,53795.4513864686,40079.1690923456,4705.66972895436
BFAr111,722838.935498716,89700.0128480772,35213.0816603432,26417.236142434,3109.73385042911
BFAr112,1189133.67183409,141640.728920802,57008.9628627623,42619.7578454861,5044.87853685932
BFAr113,639275.905328745,76145.7751613497,30647.9054535006,22912.2973530316,2712.11670337283
BGDr201,2984833.6497882,1483743.49535591,852065.072785499,996877.755324838,265557.026745549
BGDr202,2494181.04598726,876324.490125536,451195.815337486,280361.131835436,71542.5167142818
BGDr203,4346984.95653978,1999716.45326198,1085885.63230002,1140239.75487239,316593.203025837
BGDr204,1866742.30820561,577588.503734919,240033.747139456,143938.672675091,29623.768244928
BGDr205,1515242.21343921,545164.343225655,276341.208969906,171215.703454277,45264.5309109518
BGDr206,3680200.50686389,1353355.25584575,687539.076787305,453220.966466967,119687.194036091
BGDr207,5172908.05832863,2216159.81330943,1195951.78375192,1025514.53251581,297675.812094223
BGDr208,5587003.87580331,3040322.04809018,1784463.00931161,2609298.13739604,676337.929398855
BGDr209,4175276.89393862,1874820.6339493,1013194.77063223,1028588.98487251,281892.716607344
BGDr210,5426996.58596596,1911231.06020401,954362.789259091,572777.960363498,147493.604207443
BGDr211,6170610.28975542,2113739.74996076,968987.523542402,588880.578799939,140994.857941476
BGDr212,4815872.77099595,1770986.8562748,899706.609115506,593080.324721955,156621.438891791
BGDr213,2747205.96512084,1180546.91063481,640909.173734064,569544.34901729,163568.601492994
BGDr214,2951858.44607683,1188793.25409155,638697.651280591,479571.031838651,150671.616712383
BGDr215,2222350.06049334,925132.643143726,495316.387121065,380485.668071869,123757.241170005
BGDr216,3019533.22360153,1179575.96391864,630238.094667891,450412.729401338,132956.988410601
BGDr217,3397166.01273056,1193586.07859179,614545.239775905,381862.138634374,97443.5302673723
BGDr218,3269638.58179168,1222956.99262351,644494.492335064,422153.60737662,120672.325873131
BGDr219,3316779.49856186,1295694.75955467,692279.44745509,494751.869293158,146045.425135221
BGDr220,4952037.44535202,1947565.5936694,1045160.82141345,758603.891882818,231366.247682314
BGDr221,3712157.97579351,1335273.11351369,679625.055730098,423612.386014411,112083.468948296
BGDr222,3901304.78972895,1434664.04398034,728846.020316939,480450.215684011,126877.930289761
BGDr223,4090508.24445873,1260765.87546838,518626.32980294,311962.888978132,60574.6612918254
BGRr101,267616.344129957,124194.620888544,119432.698734491,206366.065579045,72920.2706679618
BGRr102,234598.892750341,137572.954706212,141846.929778756,208738.914340417,97732.3084242742
BGRr103,265935.631417075,154953.475124594,165686.831937487,241657.02646125,118977.035059595
BGRr104,329188.868787235,176762.83969865,176383.655346666,260028.643359554,113185.992807895
BGRr105,403642.431906095,251637.302505112,342242.573477727,781718.839191498,343958.852919568
BGRr106,439112.940086627,241434.346714398,241358.297224203,354865.727526233,164258.688448539
BHRt,265653.416484404,154404.298440107,205568.651026657,518416.385316225,227808.248732607
BHSt,92944.6727969972,54730.2331507356,61875.834241179,108452.40154978,56202.8582613079
BIHr101,114221.771911312,53832.7274919741,51823.3724633102,87467.2259490837,30309.9021843201
BIHr102,185283.957120028,87003.3516581569,83012.1129230613,140666.64623947,48753.9320592831
BIHr103,355748.11848385,185336.005284477,176830.357791723,271841.721882776,105649.796557174
BIHr104,104351.018726684,58118.1885460888,57809.8398907266,84931.4029697425,39748.5498667578
BIHr105,373175.294063159,182251.200136081,172410.106458906,280438.056028739,98140.3433131141
BLRr101,387916.061619552,234283.909431129,248050.576406333,382416.250650923,198865.201892062
BLRr102,311230.890227664,182548.175981924,210609.107509955,368102.535481897,190102.290798561
BLRr103,347182.286000865,204838.44692141,239275.337783568,422395.984467585,215918.944826572
BLRr104,243981.356011012,145556.130022889,175231.810077612,327839.599984447,163870.10390404
BLRr105,666821.61565952,415615.591963063,515129.72186854,1090417.06009199,506221.010416885
BLRr106,301433.508126486,179877.481622173,188802.613354762,277902.162689981,147560.234206598
BLZr101,41532.0590142264,22341.7211071587,13422.7246499966,19508.2655006702,5079.22972794803
BLZr102,36961.4940852558,17380.2655606562,15111.7052976775,25488.7570739676,8944.77798244286
BLZr103,17322.7630721239,8155.06415448724,4479.71418231418,4879.42107848598,1343.03751258869
BLZr104,47021.3113933094,21464.7689822304,16021.6097064323,26164.9440735245,8287.36584450333
BOLr101,273109.701026086,153986.718492421,87794.5879597479,123020.07336687,33294.9191548746
BOLr102,1277106.76097946,693523.273902785,425979.015647654,634880.648333938,171928.301136165
BOLr103,829259.049885204,434448.974624245,260308.398241318,393384.524524056,101543.052725176
BOLr104,243489.462341576,126064.528965158,82086.1126834958,119118.726296304,36642.1697134664
BOLr105,595114.646824571,254597.576180888,138567.97699031,122716.451938933,35325.3480652991
BOLr106,195481.057470492,91040.1787542541,66964.6228645537,109026.212112048,35321.9287986516
BOLr107,779413.671710476,373480.23997439,353685.317055109,583031.331214101,206511.440045924
BOLr108,145648.010272876,76580.2891516302,49527.3763944927,70644.8494185404,22170.4747624606
BOLr109,24970.7501233158,11437.7904405539,8628.78518457656,14432.4027170486,4553.27153450508
BRAr101,604316.997644585,303757.234494136,237518.55800273,381968.451689362,130704.758169186
BRAr102,294759.767111303,158123.934941655,101535.63564409,155839.135229926,48331.5270730262
BRAr103,1315817.17299591,660585.69129443,526763.032256006,893150.257103862,306667.846349795
BRAr104,157699.801410677,83471.1354362214,76287.4202515078,123688.158586134,47541.4843154591
BRAr105,3180948.37729775,1692053.75505179,1117515.93408711,1684439.43008473,532539.50347863
BRAr106,226996.621941052,117232.946260405,100083.208783255,168744.148074816,59655.0749404718
BRAr107,507981.026678114,264854.442505204,226751.703770081,379248.543972797,134255.283073804
BRAr108,2783482.81540386,1541247.83119703,944586.586903721,1317526.08476496,391777.681730419
BRAr109,1265639.97683437,678952.814075694,435973.88070918,669142.337284499,207525.991096256
BRAr110,3370428.24817398,1719999.39589798,1326425.34819567,2119509.06969793,715985.938034441
BRAr111,1129914.5149188,589122.158526966,504369.312861622,843571.732194274,298627.281498343
BRAr112,1456033.20829047,736413.148041125,574231.852995458,963757.364628237,328329.426044705
BRAr113,3407924.11453314,1723614.62031156,1344020.56767229,2255725.99908741,768472.698395593
BRAr114,1255262.17989338,667716.301283528,440992.849019275,664711.545147029,210150.124656787
BRAr115,753223.66493633,389233.019541197,332037.928756879,551276.56317075,194791.823594844
BRAr116,5449813.79379635,2737707.72079752,2135953.79635676,3512573.0297227,1198760.65932668
BRAr117,6772863.70782579,3541840.21923409,3273692.21828895,5278126.87179662,1963015.98285455
BRAr118,1208296.98719621,639066.944951018,594491.043330158,939121.571066962,358812.453455648
BRAr119,5031809.19717272,2971630.54335992,2960982.54767598,4384545.86224062,2027042.84955075
BRAr120,13145048.200454,7762829.51644091,7556802.22419919,10735717.5706883,4981862.48821756
BRAr121,3518382.52578792,1947489.98923321,1869569.35139177,2774621.6222665,1170643.5113206
BRAr122,2076909.57697245,1150147.7126969,1126184.49244022,1622806.82008358,708133.397806852
BRAr123,3564863.84297324,1974144.68137239,1933013.56117275,2785429.5734335,1215459.34104811
BRAr124,852876.730293728,451085.562758353,419621.651462412,662879.195568028,253267.859917479
BRAr125,1059638.7623029,565838.629029971,496860.980344223,777488.456572987,291977.171749922
BRAr126,2007462.834348,1085014.27215176,1042140.35888019,1569005.72883298,637046.805787063
BRAr127,635625.446739744,388850.446812714,454566.586063592,910252.89120272,432414.629181231
BRBr101,23278.4251637455,13879.8074304947,14998.2432558027,23447.0545657042,12147.4695842529
BRBr102,17649.2772355996,10571.9958830217,12659.7161097574,24101.1047303225,11960.9060412989
BRBr103,12037.865542548,7194.81274228303,8606.01255956886,18245.2412445068,8547.06791109336
BRBr104,17517.1137518388,10444.6140107561,11286.2417170223,17644.0080926388,9141.02242774409
BRNt,81253.1532981532,50053.9152520793,64354.4242026632,151616.873611409,67628.633635695
BTNr101,8274.48824728486,3906.41698282919,2165.66979743217,2358.88827159057,639.536700863209
BTNr102,31756.4725667196,16991.8870992096,9494.25905238776,12457.9996102721,3499.38167141092
BTNr103,16008.7336200663,5875.7000542176,3061.08438668695,1999.6311072506,531.850831778545
BTNr104,3514.80713004916,1032.04498279222,397.68988652361,247.608725806357,48.849274828652
BTNr105,5775.93399195363,3206.12716102619,1859.9888776756,2644.52425662594,699.425712718644
BTNr106,9851.57319873717,3615.83186726227,1883.75280760235,1230.54781790226,327.294308495958
BTNr107,30074.7458569322,11026.488082287,5569.76316166289,3632.3089038014,960.693995316502
BTNr108,16642.3116540748,8582.44713298526,5324.27058532446,8225.46730981754,2052.50331779797
BTNr109,16139.9945260852,6228.42242066409,3256.96912213761,2156.57146319226,620.042467920887
BTNr110,13475.5545859422,6199.07556427083,3366.22078485341,3534.71732970412,981.431735229405
BTNr111,23767.2368136632,9152.86203433148,4905.77893340886,3302.85308237294,957.269136223559
BTNr112,45010.960179072,17980.4301276794,9511.6608110871,6827.89957152758,2089.04931063398
BTNr113,19069.5725251753,10208.5430439498,5665.53847370945,7529.92926048262,2145.41669668277
BTNr114,28899.6529015012,15312.5263675056,14893.875843808,22554.6562124147,8858.28867477043
BTNr115,34401.1482824307,12110.1287229996,6018.13964311624,3516.13687070512,881.446480748306
BTNr116,11084.828507969,3898.94057862189,1998.89193957595,1217.21633103289,310.122642800241
BTNr117,9219.78587225835,3550.5779967803,1903.04963329452,1281.24267981801,371.343817848829
BTNr118,13050.7534366539,5255.63109403641,2822.80964500642,2098.34843992425,646.457384379015
BTNr119,17956.0253411514,6603.14056916831,3354.56425887648,2211.30537421639,583.964456587377
BTNr120,11380.3159078716,4184.99218137103,2126.08304309854,1401.49912072596,370.109746932825
BWAr101,272181.560786275,139588.509314917,87679.7515811425,131657.251504657,34267.9268130091
BWAr102,19256.1139879625,10280.476825618,5959.03819381691,8216.233196386,2244.13779621657
BWAr103,22007.125949422,11695.5029801768,7100.37668042756,10392.9916156487,2713.00277432486
BWAr104,36445.6774939284,16320.6823971351,13766.6026730752,22838.8853634344,7820.1520724269
BWAr105,128581.692677015,68796.3512018738,43768.9035776764,62398.7435518365,18103.3089915986
BWAr106,61952.3434710688,27674.1238544998,23916.160925874,39694.5042070797,13768.8675414776
BWAr107,64815.1299613428,34337.3290826293,20631.5119158699,30444.3755083708,7934.65353178714
BWAr108,99938.6522397606,59219.0585759092,63143.4391967032,91726.9238527704,45602.9261348566
BWAr109,91949.4635852283,48467.3707656805,30721.7315734019,44136.1297494256,12702.3043262636
BWAr110,10060.8785845381,5285.50790754567,3217.49275724171,4928.08726964258,1257.03348103196
CAFr101,893715.033907441,87610.1185620313,37685.1805982097,26175.8727303206,3159.79420199719
CAFr102,671435.871769217,65820.2828650124,28312.3603472467,19665.5748859464,2373.91013257703
CAFr103,785505.495564242,77002.4302899191,33122.3212524479,23006.5413479286,2777.21154546212
CAFr104,306663.881144476,30061.9973553479,12931.0611385266,8981.82800923465,1084.23235241517
CAFr105,437588.283739042,42896.4042958056,18451.7355921242,12816.4513170972,1547.12505593111
CAFr106,586316.217579625,166099.24945021,63158.0105955515,39754.2975841677,7451.22479044598
CANr101,103938.894980139,54854.2165129809,80932.7250508122,190432.788974009,97269.3744820588
CANr102,27676.6813190695,11646.5327954378,20324.6151672699,53133.9138901411,33637.2568280818
CANr103,184171.890838654,94383.1027258829,142996.302554733,335397.691647969,182108.01223276
CANr104,146699.870799851,76427.9573070916,113739.541443801,277369.549642312,137707.080806944
CANr105,1513071.40803379,804727.774448139,1276597.12828749,2916339.95450435,1722741.73472622
CANr106,2440410.10822487,982561.061300931,1787458.00304417,5056622.11252826,3486763.71490177
CANr107,250320.477207958,127497.021512583,193756.990900582,464388.695903415,256074.814475462
CANr108,209996.707867384,97322.4575493449,162306.926172397,402906.567622559,255731.340788315
CANr109,719009.436076546,297971.295978603,536150.755727451,1530563.22066353,1082964.29155387
CANr110,829296.275533078,333034.392494667,606943.24973412,1729130.4503779,1184112.63186024
CHEr101,283765.451678845,114278.941939814,197209.716108192,562313.717314418,421554.172958731
CHEr102,329327.45118148,133234.347991366,232934.343198944,653606.039488273,487064.818139938
CHEr103,201841.381284359,81286.2149228528,140274.5868691,399971.796236624,299850.020687064
CHEr104,261318.625131554,105239.083237655,181609.746962085,517832.761641194,388207.783027512
CHEr105,211883.882873155,83308.8749684,146285.506561534,407980.757166347,301327.978430564
CHEr106,141085.325192795,57078.1793190184,99790.0947549103,280007.69537539,208660.705357886
CHEr107,63301.4021941613,25492.9457524045,43992.8521322939,125438.972815124,94038.8271060168
CHLr101,97832.2055944886,62584.8466688254,79119.0558490855,183820.966954529,90745.9249330716
CHLr102,110216.281789633,72151.5123563357,92398.6616747517,211288.244387659,101902.29979162
CHLr103,56568.5627733476,34786.6501600255,44226.417541706,115346.508328728,50956.8611961926
CHLr104,157710.227162175,100738.928457373,111176.019976381,237135.872189473,113450.952214598
CHLr105,338514.447749688,207794.293078128,268655.747795358,696222.293071786,316656.218305041
CHLr106,223016.814921693,143262.274871324,153239.090081403,270375.515451463,139122.304674116
CHLr107,326065.875264897,185804.546337104,177326.751868784,266984.668016338,125573.158512878
CHLr108,508215.404235776,320417.173431292,347817.365512025,694564.355197979,345145.701622928
CHLr109,313825.299798589,173848.0389758,166216.506133868,244494.873645484,114368.281446258
CHLr110,374316.479651371,216894.039203946,213343.765596413,317971.933957616,148625.781590655
CHLr111,29879.2125319869,18315.4531840503,18423.5558878723,29309.2534358942,15302.5249601964
CHLr112,33962.3913530402,20849.3604588006,26796.9083504778,68860.8707918051,31560.4690458762
CHLr113,1379103.43837531,881312.489886248,1103582.70336798,2565965.59621293,1283472.77215754
CHNr101,4237618.67798116,2573835.67381414,3422055.47354519,7553772.82602988,3928101.34862963
CHNr102,3757834.89555184,2217132.31011446,2589870.65361338,4571933.63306938,2337065.50765094
CHNr103,29643466.7601973,14051750.7167647,10041216.3753812,15573035.4817437,4958945.66591319
CHNr104,14258314.6420492,6405796.61038739,5092984.42691187,8230706.24007619,2661285.08057534
CHNr105,8870052.99904814,4157253.01059671,3634176.64298107,6258431.73044069,2196313.61693338
CHNr106,14836196.692705,7184090.05563729,6792469.49663143,11115349.4387818,3902762.31624444
CHNr107,10307814.8829229,4602250.54043521,3894720.82044292,6495639.06549105,2236402.69070788
CHNr108,15007849.0430057,6930274.51452739,5162929.58113618,8406475.33446818,2621925.52686255
CHNr109,4658963.43746613,2700980.73845226,3594874.14495902,9154077.75009269,4047093.9290299
CHNr110,24054992.1151478,13169334.0274878,13196970.2884522,20035344.1927243,9323141.37618787
CHNr111,17661424.3883292,9389177.3144172,9133264.2198146,13795565.430649,5424306.64679004
CHNr112,24583674.4454295,11912757.264677,8212653.75398807,12708191.3279612,4037961.20794429
CHNr113,13306233.8445205,5994305.7554184,5695098.00256421,9898834.76724688,3505048.63024999
CHNr114,18302254.3903214,9208920.74492711,6218812.4366601,9050919.49156227,2890416.93652912
CHNr115,33912627.8986265,15977531.716118,14346124.9515019,25337210.823455,8920926.61029857
CHNr116,37931841.5263525,18381012.2326787,12671868.1293388,19608342.1381465,6230447.9734834
CHNr117,20609678.2263729,9532912.37854767,8409091.24562364,14822289.7924164,5160542.3570394
CHNr118,25441635.4231381,11392979.3587707,9610052.83224405,15943141.5422074,5459013.84363971
CHNr119,34228922.9933438,18250689.1432058,17824986.8317712,26691054.415783,11521253.6158962
CHNr120,19348399.2350847,10198711.3669243,6464598.10093747,9287313.11512048,2672873.18193311
CHNr121,3380272.56125731,1509968.40928039,1304924.68918628,2165829.98941056,751263.35086546
CHNr122,10878670.0461875,4987322.27870943,4296819.31938476,7455406.4403201,2559264.91539825
CHNr123,32804262.7799968,17551593.3578517,11166493.3371273,15919410.7496921,4618586.77533212
CHNr124,15088682.5050138,7941172.10947454,4511350.32871547,6049097.40003643,1718452.65675972
CHNr125,20023157.6190837,10625145.4525992,6114468.53991129,8352453.60314477,2316535.78526104
CHNr126,1923292.01555155,691975.328557839,350758.998175842,217323.535781933,57454.121932838
CHNr127,13358255.1034659,6178799.7868242,5450390.09408794,9607133.41032322,3344828.6052987
CHNr128,10627885.5372181,5899462.65025551,3379100.3084783,4814098.04265792,1285901.4613902
CHNr129,2517174.658077,1346860.78591298,752561.804012647,987482.499620375,277378.252376997
CHNr130,2670617.5334675,1350924.60036291,910442.088801349,1331702.3697541,417970.407614138
CHNr131,9350650.54990353,4779712.80455825,3206329.27636806,4774023.76262993,1495136.60654021
CIVr101,1279406.47822069,251476.262654374,84713.4935218588,57996.6536132364,8444.11198983588
CIVr102,399224.097526787,110424.016220151,41855.3434931351,25771.6313338386,4771.91142608832
CIVr103,1228900.03350507,377137.835362861,149642.686714417,92110.8945387504,17964.5498789021
CIVr104,2378617.62313465,657917.476990314,249378.377387266,153549.990712885,28431.5317748816
CIVr105,1048193.53230801,107665.775458595,44806.143566923,31363.630226158,3833.91844031831
CIVr106,821312.957943755,103481.932514283,40052.9548075246,29628.6815159553,3783.47321848152
CIVr107,914436.505022106,93926.8487986835,39088.557660377,27361.4056229324,3344.68289590085
CIVr108,2217890.68032853,303327.520612942,112083.775145274,84996.1588389215,11005.8650743376
CIVr109,4492625.72363856,1652116.13451335,839317.242802497,553272.075432909,146108.823612678
