"country","GDLCODE","X1","X2","X3","X4","X5","X6"
"China","CHNr102",1637304.4,14946455.2,55471168.7,11788441.8,664095.3,0
"China","CHNr103",1637304.4,14946455.2,55471168.7,11788441.8,664095.3,0
"China","CHNr104",1637304.4,14946455.2,55471168.7,11788441.8,664095.3,0
"China","CHNr105",1637304.4,14946455.2,55471168.7,11788441.8,664095.3,0
"China","CHNr106",1598745.3,18350286.6,41550421.9,8849726.9,103208,0
"China","CHNr107",1598745.3,18350286.6,41550421.9,8849726.9,103208,0
"China","CHNr108",1598745.3,18350286.6,41550421.9,8849726.9,103208,0
"China","CHNr109",8122714.5,52062293.2,211677911.5,85500053.8,5945605.5,0
"China","CHNr110",8122714.5,52062293.2,211677911.5,85500053.8,5945605.5,0
"China","CHNr111",8122714.5,52062293.2,211677911.5,85500053.8,5945605.5,0
"China","CHNr112",8122714.5,52062293.2,211677911.5,85500053.8,5945605.5,0
"China","CHNr113",8122714.5,52062293.2,211677911.5,85500053.8,5945605.5,0
"China","CHNr114",8122714.5,52062293.2,211677911.5,85500053.8,5945605.5,0
"China","CHNr115",8122714.5,52062293.2,211677911.5,85500053.8,5945605.5,0
"China","CHNr116",12028378.2,48324708.6,267249142.9,176133651.7,40627740,395873.8
"China","CHNr117",12028378.2,48324708.6,267249142.9,176133651.7,40627740,395873.8
"China","CHNr118",12028378.2,48324708.6,267249142.9,176133651.7,40627740,395873.8
"China","CHNr119",12028378.2,48324708.6,267249142.9,176133651.7,40627740,395873.8
"China","CHNr120",12028378.2,48324708.6,267249142.9,176133651.7,40627740,395873.8
"China","CHNr121",12028378.2,48324708.6,267249142.9,176133651.7,40627740,395873.8
"China","CHNr132",12028378.2,48324708.6,267249142.9,176133651.7,40627740,395873.8
"China","CHNr122",4136373.1,33286173.2,134531225.3,72547225.3,6706424,0
"China","CHNr123",4136373.1,33286173.2,134531225.3,72547225.3,6706424,0
"China","CHNr124",4136373.1,33286173.2,134531225.3,72547225.3,6706424,0
"China","CHNr125",4136373.1,33286173.2,134531225.3,72547225.3,6706424,0
"China","CHNr126",4136373.1,33286173.2,134531225.3,72547225.3,6706424,0
"China","CHNr127",775908.8,3673162.6,19640124.5,14646014,2225945,0
"China","CHNr128",775908.8,3673162.6,19640124.5,14646014,2225945,0
"China","CHNr129",775908.8,3673162.6,19640124.5,14646014,2225945,0
"China","CHNr130",775908.8,3673162.6,19640124.5,14646014,2225945,0
"China","CHNr131",775908.8,3673162.6,19640124.5,14646014,2225945,0
"CzechRepublic","CZEr101",216201.395,370578.304,554042.481,58975.537,7279.441,0
"CzechRepublic","CZEr102",119101.826,330796.556,690477.443,128082.737,4575.335,0
"CzechRepublic","CZEr103",147345.75,306691.911,617998.546,113710.441,5367.68,0
"CzechRepublic","CZEr104",123624.398,318574.002,543533.1,111968.044,0,0
"CzechRepublic","CZEr105",160631.809,407489.548,748055.525,125003.681,42009.354,0
"CzechRepublic","CZEr106",181576.212,412923.129,831434.429,204445.454,21585.658,0
"CzechRepublic","CZEr107",110258.447,312491.362,627226.345,154117.012,0,0
"CzechRepublic","CZEr108",140855.275,336961.796,559119.215,161728.708,8580.913,0
"Denmark","DNKr101",356385.6309,520482.8023,707475.8298,201563.1177,20936.8523,734.6264
"Denmark","DNKr104",148792.4548,274321.7404,305420.9246,89348.9355,9733.7998,0
"Denmark","DNKr103",225407.8662,411574.439,441388.0269,128284.1346,10805.1299,0
"Denmark","DNKr102",230458.4226,411696.8767,487975.5842,158250.7697,12427.4299,704.017
"Denmark","DNKr105",110102.1313,199328.6291,204256.7478,62841.1664,4101.6641,0
"DominicanRepublic","DOMr101",116264.728,295988.041,1220850.156,1135140.561,382259.712,32295.369
"DominicanRepublic","DOMr102",33211.493,80870.94,374844.709,392186.055,167752.693,14167.917
"DominicanRepublic","DOMr105",11408.543,29616.006,106042.345,135722.36,83009.229,9147.237
"DominicanRepublic","DOMr108",17028.304,55985.574,136959.528,180926.476,36997.005,0
"DominicanRepublic","DOMr104",24084.258,47086.37,300182.609,204890.718,87907.892,0
"DominicanRepublic","DOMr107",8554.157,27121.669,100512.597,129938.578,63533.595,4488.607
"DominicanRepublic","DOMr106",43919.941,90684.268,348743.178,304064.134,150924.417,17255.334
"DominicanRepublic","DOMr103",73474.94,162670.006,588318.587,498198.396,246660.368,11399.542
"DominicanRepublic","DOMr109",24428.305,56731.675,265434.908,278809.717,134727.226,7590.027
"Estonia","ESTr101",94971.44362,149798.3637,271580.41119,57070.3915,4498.09047,1499.70462
"Estonia","ESTr102",26941.51057,39437.16553,57833.25888,19343.72614,4187.76017,0
"Estonia","ESTr104",26424.44849,39481.15072,62736.20746,11298.05896,1853.35327,604.18232
"Estonia","ESTr105",63138.01696,75731.37744,123385.98854,43796.25813,4418.53437,47.85028
"Estonia","ESTr103",25330.46673,31343.43955,46523.03687,16306.45109,2322.35245,0
"Finland","FINr102",333760.988,511384.67,547377.968,150533.259,15868.702,0
"Finland","FINr103",250628.167,396886.022,385923.564,104155.778,16617.748,1665.761
"Finland","FINr101",276434.808,473824.78,446986.401,133202.222,23204.019,1479.099
"Finland","FINr104",250555.25,457956.803,401759.024,146297.835,33840.349,25992.255
"Finland","FINr105",4476.784,13372.311,10884.07,3510.354,0,0
"France","FRAr101",1683772.225,2810788.374,5170731.837,1974305.765,211672.35,0
"France","FRAr102",243360.155,394820.463,501732.967,153333.717,16250.625,0
"France","FRAr103",223759.825,537933.269,836609.006,247169.882,42716.088,0
