"GDLcode","X1","X2"
"NGAr109",2673293.0891869,2486130.0198131
"NGAr110",3800880.72598349,3888219.74701651
"NGAr111",6192169.423553,6085689.166447
"NGAr112",3918591.32897123,3625532.78502877
"NGAr113",1538919.31274944,1482264.04025056
"NGAr114",5405960.77964108,5417444.66035892
"NGAr115",2547643.01180709,2705496.87319291
"NGAr116",2594370.84426211,2349802.75973789
"NGAr117",2264762.21221594,2207355.32178406
"NGAr118",3641006.7116055,3595868.0833945
"NGAr119",2077923.65323835,2022805.78176165
"NGAr120",3448234.67071891,3613724.18428109
"NGAr121",2330901.54782788,2509611.35917212
"NGAr122",1928186.59959932,1883166.89340068
"NGAr123",2815146.18735803,2693737.03664197
"NGAr124",2345472.90456638,1919234.79943361
"NGAr125",2901328.24054843,2709205.13645157
"NGAr126",2160472.971087,2121278.620913
"NGAr127",2274799.36140079,2171287.88559921
"NGAr128",2264504.9477906,2143325.3782094
"NGAr129",1488396.71802689,1455213.98197311
"NGAr130",1538443.79391615,1620038.25608385
"NGAr131",1081339.64106204,1115992.89193796
"NGAr132",1601472.58477167,1283983.51422833
"NGAr133",1647413.64535996,1516587.80164004
"NGAr134",1581310.66915737,1556904.36784263
"NGAr135",1208198.05565552,1216578.52834448
"NGAr136",2213789.61533194,2087845.22666806
"NGAr137",1040562.95979055,1185473.67920945
"PAKr101",59066167.9813828,56206243.9186172
"PAKr102",23359145.0970763,23580966.4129237
"PAKr103",15083081.4666323,14185454.1033677
"PAKr104",3915409.75855282,4077858.51144717
"PAKr105",1131803.72719978,1187171.81080022
"PAKr106",530682.482025803,498751.107974197
"PAKr107",1946868.86272138,1703167.49627862
"PAKr108",2222631.34221636,2120742.31278364
"PNGr101",97860.218164284,104191.064135716
"PNGr102",62889.5776005208,66958.0768994793
"PNGr103",123099.335349881,131062.969050119
"PNGr104",179203.338851994,190796.494448006
"PNGr105",128475.080063521,136786.485436479
"PNGr106",100807.28538278,107328.78521722
"PNGr107",313207.1064983,329558.0343017
"PNGr108",282911.418271175,297680.764428825
"PNGr109",211925.754680651,222989.305419349
"PNGr110",253395.327414897,266623.790685103
"PNGr111",345533.290031159,363571.801168841
"PNGr112",352145.030568738,380832.815431262
"PNGr113",264840.73454845,286416.203051549
"PNGr114",238285.92246396,257698.08133604
"PNGr115",120774.881228866,130613.906371134
"PNGr116",20177.0213571019,21354.6360028981
"PNGr117",75399.6421412788,79800.2779587212
"PNGr118",144742.558548881,153190.334551119
"PNGr119",126999.06289551,134411.25490449
"PNGr120",123432.98858851,130637.04971149
"PNGr121",235946.272308522,249717.075291478
"PNGr122",226368.213039358,239580.000760642
"PHLr101",6156856.30443742,6015099.98556258
"PHLr102",880074.262583363,972732.161416638
"PHLr103",2596600.54087685,2584971.86412315
"PHLr104",1759782.19345338,1895195.55354662
"PHLr105",5625271.1925703,5790781.2174297
"PHLr106",7016444.37834939,7181382.59165061
"PHLr107",1379845.01466876,1482901.47933124
"PHLr108",2887065.53873273,2879932.72626727
"PHLr109",3581277.62754622,3843454.00645378
"PHLr110",3539160.54204311,3623613.63095689
"PHLr111",1966359.36265787,2149818.65634213
"PHLr112",1696146.96192086,1795744.77507914
"PHLr113",2326071.04459881,2551558.09140119
"PHLr114",2277101.74947026,2775280.17452974
"PHLr115",2056518.37788069,2331337.66311931
"PHLr116",1251423.26740461,1358053.24159539
"PHLr117",1310958.60333266,1374959.85966734
"RWAr101",666381.32020899,639038.15679101
"RWAr102",1498919.73124252,1327498.09875748
"RWAr103",1397747.9602095,1251001.7057905
"RWAr104",966484.775968516,848287.846031484
"RWAr105",1579997.2426157,1447084.5633843
"SENr101",1664762.254832,1558722.167168
"SENr102",289890.021299422,293057.496900578
"SENr103",921890.588119539,680246.66988046
"SENr104",832046.562847671,718513.190152329
"SENr105",484115.394261612,417384.543738388
"SENr106",891563.12433523,740526.37766477
"SENr107",983307.469697547,887816.310302453
"SENr108",503905.640164391,415460.430935609
"SENr109",415161.983150273,340015.335649727
"SENr110",621852.063832833,574901.989167167
"SLEr101",306528.553249179,284559.354950821
"SLEr102",204905.717859922,191232.767740078
"SLEr103",202799.707433184,187185.001066816
"SLEr104",343470.075781267,309341.420118733
"SLEr105",258965.834674714,242163.385025286
"SLEr106",271675.059089051,239139.600110949
"SLEr107",353063.430651196,352819.975948804
"SLEr108",221738.905805335,205077.099394665
"SLEr109",383657.198866928,339422.362533072
"SLEr110",100892.305008732,96306.8072912682
"SLEr111",180700.780078961,180135.632421039
"SLEr112",179799.378081699,174477.704418301
"SLEr113",288458.444172481,272196.159227519
"SLEr114",451308.767060386,413928.575239614
"ZAFr101",3454061.73652035,3025061.35547965
"ZAFr102",3628225.43901535,3194633.66798465
"ZAFr103",681830.449426447,580076.566573553
"ZAFr104",1559519.11320398,1279278.27579602
"ZAFr105",5846005.19288183,4888175.11711817
"ZAFr106",1919953.1725967,1930670.8944033
