"country","GDLCODE","X1","X2","X3","X4","X5","X6"
"Kenya","KENr104",163710,296520,1461130,1788710,1698710,181250
"Kenya","KENr108",5620,17280,119090,367300,1634260,150720
"Kenya","KENr105",135680,267600,1273630,1738720,1780440,190930
"Kenya","KENr106",290220,464160,2108980,2897980,3630350,468940
"Kenya","KENr107",94780,186600,919900,1345380,1540430,204260
"Lesotho","LSOr101",2840,4460,25180,35210,35280,5130
"Lesotho","LSOr102",8360,16000,74680,86840,89890,10790
"Lesotho","LSOr103",7870,13300,65230,79320,75340,10900
"Lesotho","LSOr104",20590,33140,119680,124250,102150,13220
"Lesotho","LSOr105",6210,8980,45210,58630,59230,9060
"Lesotho","LSOr106",4580,7840,38500,52710,56810,9720
"Lesotho","LSOr107",5830,3880,20510,31460,47300,12990
"Lesotho","LSOr108",1640,2800,12850,18820,27140,6180
"Lesotho","LSOr109",1970,3920,20960,30690,32920,5280
"Lesotho","LSOr110",2000,4180,21450,32720,33100,4360
"Liberia","LBRr105",2170,5720,22760,29870,53600,11410
"Liberia","LBRr103",4290,11060,61830,88690,156490,27750
"Liberia","LBRr108",4290,11060,61830,88690,156490,27750
"Liberia","LBRr107",3750,10700,63850,108920,302550,61040
"Liberia","LBRr110",3750,10700,63850,108920,302550,61040
"Liberia","LBRr113",3750,10700,63850,108920,302550,61040
"Liberia","LBRr114",3750,10700,63850,108920,302550,61040
"Liberia","LBRr115",3750,10700,63850,108920,302550,61040
"Liberia","LBRr101",51540,111840,428720,500600,631620,219180
"Liberia","LBRr102",51540,111840,428720,500600,631620,219180
"Liberia","LBRr104",51540,111840,428720,500600,631620,219180
"Liberia","LBRr106",51540,111840,428720,500600,631620,219180
"Liberia","LBRr109",51540,111840,428720,500600,631620,219180
"Liberia","LBRr111",51540,111840,428720,500600,631620,219180
"Liberia","LBRr112",4320,13360,72380,116240,208730,43360
"Malawi","MWIr111",11181.8212423346,36604.1681923958,180423.449301204,252177.64749753,301618.345905341,78182.4918432651
"Malawi","MWIr105",8083.00262001946,31870.6976754613,171086.879277335,256610.261837541,320652.513365387,90477.4809402178
"Malawi","MWIr102",6789.32105924711,22704.6128185162,135405.336694172,202275.636285102,226875.643018238,50834.6653608916
