"GDLcode","shdi","ISOcode","LISDHS","Population","X1est","X2est","X3est","X4est","X5est"
"SVNr106",0.87383725,"SVN","LIS",68846.03141,16546.8048940537,15404.0393271924,13996.0539651107,12409.5358982647,10838.6667563903
"SVNr107",0.887868498,"SVN","LIS",143527.3773,30794.4438172211,30147.4873448492,28870.8331048842,28139.0810370587,25847.6106920164
"SVNr108",0.876932263,"SVN","LIS",52712.05356,12669.0827046791,11794.1227609725,10716.0969358417,9501.37731292755,8298.63930978668
"SVNr109",0.935847079,"SVN","LIS",559734.4058,86848.1368796478,95685.5073959884,108886.725255773,120673.888106609,144397.759835851
"SVNr110",0.900053804,"SVN","LIS",202662.2793,36802.2398859472,39748.416019982,41452.0270776961,42513.382058879,41780.5897276636
"SVNr111",0.890783128,"SVN","LIS",97201.09882,20854.9325772753,20416.7940061801,19552.2049830111,19056.6402594408,17504.7869500474
"SVNr112",0.901243138,"SVN","LIS",109848.8069,19947.8766185913,21544.789148929,22468.1955310043,23043.4805755771,22646.2859739594
"SWEr101",0.961714439,"SWE","LIS",2217194.907,324697.212927076,366352.758287692,430138.518330215,493198.06337255,607601.452554676
"SWEr102",0.927013273,"SWE","LIS",1628574.215,369435.797389291,352204.333053675,330176.212075234,302879.842494644,272358.53273322
"SWEr103",0.924503127,"SWE","LIS",799838.0537,181440.186409287,172977.335426104,162158.713070558,148752.70742628,133762.844040808
"SWEr104",0.929011089,"SWE","LIS",1459536.051,295562.021101056,296321.136988662,292786.41539597,295240.665235469,279213.851849137
"SWEr105",0.93476891,"SWE","LIS",1953403.627,395572.22558955,396588.205788975,391857.429885996,395142.131579221,373692.277444639
"SWEr106",0.915951303,"SWE","LIS",827023.4792,187607.09563237,178856.603665045,167670.270807731,153808.61296485,138309.264174881
"SWEr107",0.918704857,"SWE","LIS",358733.8457,81377.3932535867,77581.7360393051,72729.4962829849,66716.794164099,59993.7190191836
"SWEr108",0.926800731,"SWE","LIS",490532.2138,111275.346177784,106085.169230542,99450.2226313113,91228.4612428874,82035.3366634547
"THAr101",0.812079643,"THA","LIS",9738897.096,1633237.33148491,1737351.18311134,1905958.68499115,2037038.64533206,2320812.39406384
"THAr102",0.767853515,"THA","LIS",19914911.8,3339780.37598822,3552681.09275933,3897463.82284218,4165507.09542269,4745791.40497452
"THAr103",0.746608086,"THA","LIS",12278327.66,2847330.31841326,2691344.34646183,2484703.41914947,2335460.72543821,2042568.73060685
"THAr104",0.748435899,"THA","LIS",18834260.62,4367643.76820865,4128370.10406233,3811394.60157282,3582464.74509523,3133184.98021838
"THAr105",0.755739335,"THA","LIS",9315771.473,1828441.93570496,1906687.00340516,1916913.20124437,1895962.51851181,1774076.21993641
"TTOr101",0.799393591,"TTO","LIS",583006.4622,116870.56029993,118812.197345783,118285.601772415,117520.712891522,112073.788248497
"TTOr102",0.780972574,"TTO","LIS",125465.5312,33288.1832490166,29168.9565239177,25300.9478805796,21731.483499538,18418.337346208
"TTOr103",0.801241562,"TTO","LIS",287721.3388,57677.1549819743,58635.3783405775,58375.4965155908,57998.0138166627,55309.8850355166
"TTOr104",0.808716348,"TTO","LIS",382784.3317,65563.6441274354,67992.1961834177,73863.9878443176,79300.1066459332,92079.2229888675
"TTOr105",0.787184728,"TTO","LIS",65025.22842,15401.0358056438,14191.8500703037,12974.5444510966,12250.2616103439,10919.3448449111
"TUNr101",0.782079971,"TUN","LIS",2753515.115,440826.858975923,486408.113468424,543301.515787604,589428.697128144,666861.875040821
"TUNr102",0.726510904,"TUN","LIS",1598985.158,353984.40381816,347064.337083559,326234.222991562,311266.299279782,270333.619434075
"TUNr103",0.715657153,"TUN","LIS",1206846.691,299288.079252683,279033.917601003,248850.959638827,215993.778331686,178368.856761815
"TUNr104",0.677170809,"TUN","LIS",1511346.705,449496.833009021,360494.082556539,290523.119622578,245381.187954555,194967.977447448
"TUNr105",0.74559191,"TUN","LIS",2712994.504,434339.669719685,479250.152415032,535306.313852081,580754.689559253,657048.364128149
"TUNr106",0.734158916,"TUN","LIS",632153.55,118447.524852181,128120.513183195,131146.272003311,131670.299244171,122347.245379124
"TUNr107",0.736465506,"TUN","LIS",1046440.09,196072.992972346,212085.246292248,217093.958704035,217961.411102409,202528.424408568
"URYr101",0.824126511,"URY","LIS",1323731.155,201841.21321679,228934.180114371,260555.377644442,288499.058226053,335717.831652435
"URYr102",0.777084585,"URY","LIS",309221.3023,80307.1374323371,71630.3847735686,63960.9061751576,53827.8317930995,41857.4505475289
"URYr103",0.810633453,"URY","LIS",812903.3143,145068.051457665,161299.300731435,168236.049431991,172387.16740917,164754.279190501
"URYr104",0.775018515,"URY","LIS",319304.7801,90447.6791524812,74565.3325130221,61230.6421837289,52781.70064258,43135.0988521191
"URYr105",0.782084793,"URY","LIS",143339.2587,37226.3018823404,33204.2009314023,29649.0209721471,24951.8433861507,19402.9838433764
"URYr106",0.80718161,"URY","LIS",156428.6095,32982.6354696106,33241.3952247133,31838.1679222178,31003.0665468128,27694.7855104318
"URYr107",0.768178192,"URY","LIS",301601.4442,85432.954208776,70431.1785314882,57835.8084903161,49855.3048161342,40743.5432236076
"USAr101",0.8776725,"USA","LIS",4904954.577,1351559.51575208,1103771.10347134,925814.341178633,820393.861027412,707848.732806318
"USAr102",0.937838268,"USA","LIS",719504.223,124903.442427504,137574.970761829,146567.957041799,154386.32860976,155779.838046175
"USAr103",0.908267894,"USA","LIS",6916636.036,1589168.2880945,1508724.03540037,1400407.59489847,1275247.00268006,1143584.16703202
"USAr104",0.877777515,"USA","LIS",3012993.386,830229.886499187,678019.537634767,568705.059923569,503947.842612325,434814.128602667
"USAr105",0.92941147,"USA","LIS",39367326.33,6834031.57424405,7527348.1317998,8019395.03610939,8447173.46331827,8523418.65962655
"USAr106",0.941523563,"USA","LIS",5518090.676,818478.107598322,919627.970657468,1069090.82684415,1216866.38727056,1495008.09158995
"USAr107",0.952926175,"USA","LIS",3608025.6,535165.175537666,601302.416982644,699029.301703138,795652.941360198,977517.004228312
"USAr108",0.930735037,"USA","LIS",952188.2026,165296.5758112,182066.011490878,193967.283461497,204314.076339953,206158.239588965
"USAr109",0.942356769,"USA","LIS",675928.1102,100257.932134968,112648.093841067,130956.264521689,149057.753090408,183128.196583862
"USAr110",0.908596491,"USA","LIS",20217645.27,4645212.00129661,4410069.75056734,4093455.81287012,3727605.64494391,3342749.1203965
"USAr111",0.902653502,"USA","LIS",10308246.06,2368425.58422386,2248535.05556688,2087105.06051937,1900571.29253049,1704346.87075186
"USAr112",0.940211042,"USA","LIS",1407033.512,208700.109122524,234491.864897294,272602.73690028,310283.37282728,381205.494633708
"USAr113",0.906647484,"USA","LIS",1670948.89,383917.698313699,364483.650599389,338316.127097594,308079.325341569,276271.685336331
"USAr114",0.928294843,"USA","LIS",13027385.86,2261509.08880127,2490940.5275201,2653768.06703666,2795327.96336082,2820558.92733214
"USAr115",0.906019778,"USA","LIS",6683485.826,1535599.62868173,1457867.04019999,1353201.79671323,1232260.19450782,1105035.53048262
"USAr116",0.9281403,"USA","LIS",3159246.934,548434.331475965,604073.319767641,643560.321267146,677889.746467687,684008.460262218
"USAr117",0.921836882,"USA","LIS",2943835.988,603797.009173379,602822.093304212,589754.161499743,590352.668600639,556769.610707392
"USAr118",0.881315682,"USA","LIS",4482101.91,1235042.52525335,1008615.77684529,846000.541240516,749668.286166321,646825.593896275
"USAr119",0.885326455,"USA","LIS",4720547.821,1300746.26112797,1062273.70622487,891007.409404874,789550.31942485,681236.439765398
"USAr120",0.914995259,"USA","LIS",1330357.53,272863.672099821,272423.095018438,266517.527742113,266788.000836294,251611.382936782
"USAr121",0.934618602,"USA","LIS",6016037.233,1044363.23812062,1150314.50820553,1225508.14650077,1290880.40277213,1302532.04342415
