"GDLCODE,""X1est"",""X2est"",""X3est"",""X4est"",""X5est"",""X6est"""
AUSr103,726105.95703245,1394438.25052663,1911459.14161584,623196.522102675,111109.377506882,4981.75121552973
AUSr104,256911.258356602,496613.396159061,679128.594846174,223153.952180292,39574.7835037538,1772.01495411643
AUSr105,386662.473869218,737564.184329621,1007526.32685851,324293.298918095,57584.8583368434,2585.85768771648
AUSr106,73926.4060988136,151905.894678926,213212.91205512,66038.150479851,10533.8959601071,407.740727182548
AUSr107,36742.9993231893,71024.7802905994,97127.7851364359,31915.0883708899,5659.91639601658,253.430482868942
AUSr108,60868.8860596842,116108.268403746,158606.043606977,51050.6532072754,9065.07979890991,407.068923407888
AUTr101,35837.8128939303,76186.5541920575,128757.763952869,41411.7967200971,7168.65807067787,339.41417036814
AUTr102,206924.096810815,438691.743533661,727637.989508116,231305.115705468,39143.9863323207,1806.06810961945
AUTr103,275085.490290292,535279.098224298,726542.765660677,235980.158648155,42216.3388072222,1897.14836935511
AUTr104,80235.3017773806,163208.281113193,232449.187870179,71733.2738606756,11338.1267682457,498.828610325241
AUTr105,174828.849378008,362085.912638681,503304.991972454,159785.579762218,25816.570207588,1239.0960410508
AUTr106,206905.630943353,428243.616987808,597690.95002404,182965.535365173,29227.4110290865,1291.85565054003
AUTr107,82096.6986607305,159749.053939318,216829.911434566,70426.077195147,12599.0725354449,566.186234792986
AUTr108,109396.259502539,215186.354281596,295857.961121921,95574.6111301106,16967.2015616098,806.61240222321
AUTr109,54476.5182712187,113128.607639094,156861.992716549,49125.4289716212,7677.63280264705,311.819598870346
AZEr101,206522.582837167,479455.285410318,1291581.86490968,640497.356738727,169506.95291018,13928.9571939271
AZEr102,31053.5945238641,86903.0587819971,277963.927751323,166010.944132842,52819.666290273,4736.80851970072
AZEr103,37968.2989451966,110902.015315911,501834.219564393,449135.966092312,228871.959350417,29335.5407317703
AZEr104,24846.1885911358,76769.7976097533,292207.976504597,210112.469162059,80684.4231116936,8298.1450207605
AZEr105,22744.1379151106,64144.4327851767,296314.389896508,272628.879178656,144567.040125016,19120.1200995328
AZEr106,14711.2567150578,43476.9227000713,190304.019477603,159740.049095898,73073.7390951464,7819.01291622348
AZEr107,63197.4077562105,176480.131283548,823480.980430216,773201.021004423,425904.136661791,58595.3228638114
AZEr108,6575.80429436494,18154.4895540988,84946.7015032391,80455.1525459191,45830.4754095763,6814.37669280172
AZEr109,8461.98379190592,25175.4165212981,114068.368669083,101226.2613124,50342.5520819791,6223.41762333425
BDIr101,43415.5911455732,115453.050379355,553053.066786598,758987.858515062,1082862.26408732,448827.169086087
BDIr102,26041.7476009597,64355.0971191733,310253.13056881,409658.006320115,520344.821220047,184034.197170894
BDIr103,18126.0743323788,48048.2865973479,231573.406541587,317204.834735293,449676.484606179,185828.913187215
BDIr104,41644.6441322919,102651.316276252,500224.392183025,652967.162657244,804299.893563847,267944.59118734
BDIr105,29874.5138553322,77595.9425737286,374681.890274514,514770.871515698,730069.325275163,295688.456505564
BELr101,183280.032121163,349609.275610942,477572.741160298,153716.717445122,27295.5236127699,1225.71004970535
BELr102,280136.929049088,534365.188085413,729952.737119546,234950.46716336,41720.2249103345,1873.45367225858
BELr103,125077.153109926,252672.390503536,351575.534135793,114958.117122212,18975.5626838887,941.242444643241
BELr104,222738.4008386,434423.28246958,595101.090157868,195657.212977387,34659.8510656119,1519.16249095253
BELr105,171893.220366171,327888.769764736,447902.128164592,144166.613678304,25599.7088230439,1149.55920315285
BELr106,177896.636955995,345362.715660256,474446.480622474,156135.630800794,27623.6674180664,1234.86854241483
BELr107,60264.1840509938,115733.36172716,158644.236974829,51723.0709157458,9221.67888999548,413.46744127528
BELr108,168247.861652938,353107.77913395,596143.226948325,188612.3682607,32069.6249914114,1319.13901267487
BELr109,149043.864009825,308022.166247994,475667.648066859,144119.411656571,23300.3638066872,1046.54621206471
BELr110,38309.0556157182,79236.9858459148,120600.486735012,37334.8121252547,6050.84572735536,267.813950744492
BELr111,66680.5953850596,137919.593887229,209916.745008955,64984.8308993521,10532.0788831363,466.155936267472
BENr101,27288.2894407365,67720.2053563127,328965.900126258,429654.44458232,532617.262623867,183805.897870506
BENr102,43757.8274898902,114327.565212625,586232.959250104,683235.947824128,533160.550243501,121577.149979751
BENr103,34269.9003473404,88181.8464975694,423280.959093015,575761.454219408,800274.262884314,312620.576958353
BENr104,23082.3011475386,58233.1856372311,300679.545005692,385613.775548486,394049.397293724,99949.7953673282
BENr105,33307.356043756,83706.1454535867,430663.731137399,540083.605277316,526743.371663621,136619.790424321
BENr106,30673.3588099174,77384.2861800541,399563.783169243,512430.265242725,523640.103071395,132820.203526666
BFAr101,31725.7869426099,80498.3265719532,388281.145484593,530046.041179647,727609.455433974,269686.244387223
BFAr102,11208.4983046139,28435.7111275912,137843.647025042,188065.196574935,256858.402688244,94588.5442795743
BFAr103,45966.2231732393,115544.742119476,602102.235010731,703959.087866075,576218.324515524,132019.387314953
BFAr104,21774.8094370588,55249.5584830468,266494.507014879,363794.019055616,499390.519936889,185097.58607251
BFAr105,21890.9896487985,55544.3443190213,267916.397219796,365735.054006379,502055.03447672,186085.180329286
BFAr106,21723.8221881954,55120.1877532541,265870.491370142,362942.169755248,498221.161886079,184664.167047082
BFAr107,13847.1226244662,35129.8423924968,170293.810239831,232338.156958589,317326.166493197,116855.90129142
BFAr108,26906.13862737,68269.3588636354,329295.104506021,449523.672609492,617074.082666748,228716.642726734
BFAr109,33711.2112925026,82523.841826265,401123.089802113,535386.10110281,687040.629431892,234273.126544417
BFAr110,21063.6319680238,53445.0769659593,257790.647191977,351912.30268653,483080.145921659,179052.195265852
BFAr111,13725.0821404306,34824.8617557027,167976.624976923,229306.383055546,314775.471450095,116670.576621303
BFAr112,22457.6693484249,56982.1894260549,274851.797854359,375202.631026523,515051.44992881,190902.262415828
BFAr113,12073.198534648,30633.5121069868,147759.781819628,201708.190855664,276890.638742304,102628.677940769
BGDr201,156924.9083235,407312.61156465,2041011.74222489,2190140.36701547,1493844.13654471,293843.234326787
BGDr202,81151.3305269116,206087.961708004,1073666.87602265,1318396.3843344,1213058.77719508,281243.67021295
BGDr203,191305.595451569,500096.71441083,2581517.50713413,2935532.52184352,2216604.85104923,464362.810110726
BGDr204,54139.6970277944,132787.933424384,668810.985059634,860231.231743911,901397.701916579,240559.450827698
BGDr205,49203.1382924007,126158.872007989,657690.429166165,807118.477044734,741111.391043061,171945.69244565
BGDr206,124929.587384202,322328.74506624,1666064.01064917,2007432.29610892,1774263.0659832,398985.294808276
BGDr207,204155.71125571,525672.230192721,2745058.00957528,3212527.09785478,2607582.12123463,613214.829886876
BGDr208,335578.900352995,942469.305841199,4663131.8373581,4618261.93036494,2726162.64727311,411820.378809655
BGDr209,181363.788838704,473780.988057637,2426399.99289026,2760166.66396255,2089616.60174573,442445.96450512
BGDr210,175757.810642663,434648.381572622,2226483.97143853,2788565.63892889,2704567.6955515,682838.50186579
BGDr211,189092.113977631,467823.547129826,2394309.94215613,3042080.23559103,3051347.76556253,838559.395582848
BGDr212,163481.581248962,421796.10153812,2180194.33687296,2626905.38638262,2321782.51486999,522108.079087342
BGDr213,108249.689892802,281587.012363907,1470916.28014333,1723445.55519512,1392289.49534559,325286.96705925
BGDr214,114347.870692006,286943.015576158,1495863.75886689,1748180.26909749,1433217.86112463,331039.224642827
BGDr215,86857.0148190153,219819.493666278,1142134.85952004,1343028.52733311,1098338.75164113,256863.353020425
BGDr216,112773.679778284,280981.812908829,1454892.14587419,1731063.68067903,1487817.16349263,345188.517267046
BGDr217,110531.086906229,280699.358321931,1462373.64207658,1795704.20333895,1652230.52110095,383064.188255368
BGDr218,111761.356655957,290354.863370662,1501821.85678889,1809794.61298434,1595288.05259511,370895.257605045
BGDr219,123875.248711406,308641.98123085,1598113.37869584,1901471.55259085,1634279.57238865,379169.266382411
BGDr220,185465.345478775,465517.693092852,2415152.78257327,2879101.42697224,2435989.86259201,553506.889290861
BGDr221,120689.203136974,309452.084962949,1613233.15060044,1979761.6414785,1817854.43621867,421761.483602475
BGDr222,132435.283548227,341694.066572974,1766160.15693109,2128037.64829108,1880859.74789944,422956.096757179
BGDr223,116135.729730666,287507.406616955,1455116.64596455,1876413.79237875,1972047.61189731,535216.813411772
BGRr101,28500.2073069859,88518.7419694779,335024.738687766,239986.134417458,89467.6963625741,9032.48125573803
BGRr102,41129.3903528159,115100.03535184,368153.415531347,219875.638513669,69957.7844841322,6273.73576619603
BGRr103,51659.6465730947,138085.692745961,426158.729769897,246593.442498184,77941.4313968669,6771.05701599572
BGRr104,43359.0016763178,130931.187539986,465486.972699054,303730.177056278,102940.680487876,9101.98054048773
BGRr105,259459.666908675,535728.567115291,959173.801868821,311294.465358517,54611.6234054691,2931.8753432259
BGRr106,62605.4272858911,185908.817167005,642783.167739981,405326.237664316,132688.662634894,11717.6875079123
BHRt,155585.744597409,324706.370114986,627052.015121893,219002.355122629,42751.0498281099,2753.46521497349
BHSt,26305.87377884,62229.9212549334,172183.580518157,87754.923893658,23888.9394517118,1842.76110269962
BIHr101,12605.6521513329,38725.4571125685,143805.508126606,101394.776603655,37356.3063922985,3767.29961354003
BIHr102,19957.3538353473,61487.4652184335,231133.174940662,164816.423473666,61149.2331220606,6176.34940983075
BIHr103,42414.1983218154,129368.781547874,470358.149250352,326723.661624221,115914.577052562,10626.6322031759
BIHr104,16468.2501180163,46904.5919858336,154346.213502217,94456.987572738,30161.2018376614,2621.75498353395
BIHr105,40424.6968820403,127081.871723687,472721.815115379,333500.183759325,120849.13226754,11837.3002520283
BLRr101,92664.7813710506,228589.442082021,659175.686819715,356800.785702687,105451.315316077,8849.98870844986
BLRr102,91247.5634466027,214675.100646567,580756.799413288,291472.201494321,78194.2138076987,6247.12119152208
BLRr103,105236.041816211,243731.081216862,659000.391602199,326985.991932418,87539.8132010949,7117.68023121483
BLRr104,79216.3487219391,183109.081363004,489006.874011357,238175.575891243,61750.8955706114,5220.22444184518
BLRr105,296725.143336254,634682.584616199,1482453.9831554,624684.819371615,145485.399348194,10173.0701723368
BLRr106,66131.8121056678,167805.277110523,493999.282717364,276142.293948201,84451.7011730123,7045.63294523112
BLZr101,2613.09222535668,7061.01384467814,34646.6472990926,34270.672441823,20234.9805055206,3057.59368352902
BLZr102,3496.51181377004,10978.4611308347,43512.7741832698,32120.4683641713,12506.7744250094,1272.01008294482
BLZr103,791.039156245648,2104.10780992113,10836.9253790096,12009.083001902,8694.8954049411,1743.94924798049
BLZr104,3487.24325257376,10360.9389004902,45664.7035038691,39309.2779918496,18158.93977238,1978.89657883723
BOLr101,16048.972046345,45288.1143465411,227894.125061811,225961.926087421,133259.050618608,22753.8118392742
BOLr102,82910.3850987582,242318.696756212,1147148.13326315,1075498.93197888,576298.542599158,79243.3103038362
BOLr103,50435.196295161,147621.486138173,710918.014034222,674938.58979347,377491.162629134,57539.5511098393
BOLr104,16178.0447356679,48199.6547022319,223430.286214827,202679.651067165,103307.533548889,13605.8297312194
BOLr105,22417.1345607522,59993.2168658268,317377.729719132,374287.851881781,301279.747456306,70966.319516202
BOLr106,13899.1683167557,43245.7013717776,192952.122803203,165027.85521131,74616.3799394101,8092.77235754286
BOLr107,86087.8568820087,264590.9279432,979110.949338059,689515.911080085,251537.498441777,25278.8563148699
BOLr108,9751.04364353893,28566.1811704164,132682.457239518,122032.010441661,63085.2887545749,8454.0187502912
BOLr109,1838.48684245119,5727.54947857876,25200.3515074642,21078.2655567841,9205.13329941956,973.213315302238
BRAr101,46329.7593023897,138451.064736393,635226.798172427,561843.180214577,249921.662374389,26493.5351998239
BRAr102,19892.5581733602,57219.2008550801,272789.678210088,259510.151363071,132191.712471951,16986.6989264495
BRAr103,107664.938842298,319729.88534777,1432718.71927209,1243499.70107424,540679.007834612,58691.7476289891
BRAr104,17434.5147592023,51536.638535914,201835.739630397,153977.39641631,58224.2285288409,5679.48212933521
BRAr105,217104.104792101,636154.15364638,3003340.23677543,2806407.46878263,1379521.53829827,164969.49770519
BRAr106,22154.7870458918,66141.3055264772,272383.674777107,217856.358988815,85578.7601788592,8597.11348285049
BRAr107,50558.6778587778,150762.129092859,614103.407768745,487251.291961228,191236.14279946,19179.3505189302
BRAr108,179400.483628704,494478.906786985,2415775.17597234,2389788.86525822,1320936.62442325,178240.943930501
BRAr109,85414.6992733954,245687.899520422,1171304.77267646,1114285.11827877,567604.994230844,72937.5160201079
BRAr110,258026.946764963,766906.529375301,3524277.26894211,3134620.71065336,1418824.85692084,149691.687343434
BRAr111,114024.43477578,339897.697414548,1374375.34601733,1079487.1129598,416638.865467468,41181.5433650682
BRAr112,117239.983067117,348103.070490233,1565484.10366393,1362180.74397713,601623.266866454,64133.8319351397
BRAr113,274406.492384187,814753.977802153,3664099.82781812,3188257.36893925,1408131.64654784,150108.686508457
BRAr114,85673.3714354226,251038.418401733,1185174.66032532,1107461.27855297,544385.198368174,65100.0729163829
BRAr115,69868.1499134321,212148.117736295,888725.640355375,724341.053109189,295613.182565225,29866.8563204842
BRAr116,433766.517483858,1282811.91954656,5766726.34955467,5069795.68004132,2243409.25481689,238299.278556703
BRAr117,739950.066670072,2192050.87801986,8612272.73501823,6563853.47712191,2482079.04343566,239332.799734263
BRAr118,133421.33737027,394395.102588129,1544590.98417932,1178344.81993901,445573.309321378,43463.4466018899
BRAr119,838310.010899817,2298689.78803005,7620166.20330633,4872595.97316762,1606413.55096636,139835.473629811
BRAr120,2084102.30362352,5753370.37107427,19217157.3981307,12558240.4810387,4204718.01334825,364671.43278451
BRAr121,401107.494747254,1224104.94242345,4756807.06575864,3514191.39606759,1266317.88455324,118178.216449824
BRAr122,266319.480149913,780116.462699389,2861528.81594638,2013893.4309009,699796.565825594,62527.2444778203
BRAr123,457117.967961706,1339013.02301238,4911605.55312352,3456701.22330761,1201149.77686465,107323.455730151
BRAr124,94175.4843168317,278383.881697621,1090249.93208405,831734.985551975,314508.031706663,30678.6846428645
BRAr125,111529.902014111,331651.201242727,1313368.71653554,1012880.54474662,384821.780807142,37551.8546538542
BRAr126,225195.68562524,687046.016736928,2668944.90696889,1971838.68127145,719682.619489027,67962.0899084661
BRAr127,217945.256517582,498233.797937449,1310087.24408916,621655.564577646,160455.980264157,13332.1566140027
BRBr101,5735.95660392144,13903.4568965834,39981.4075858326,21383.9767642043,6220.34455581744,525.857593640891
BRBr102,5804.62568454988,13392.2406659874,35608.6931609127,17270.9899347742,4486.76739355701,379.683160218763
BRBr103,4413.00650112067,9962.26990294239,25432.306301011,11652.5176349619,2923.85411935757,247.045540606457
BRBr104,4253.8906856913,10415.6914070904,30059.0941903981,16175.5325566632,4732.03469383564,396.756466321332
BRNt,41773.6194991922,88619.0925254156,191615.153373445,75076.2183124017,16698.6849892505,1124.23130029486
BTNr101,379.230905613067,1008.7271963262,5195.31428134113,5757.25662432256,4168.40687669163,836.064115705405
BTNr102,1801.47808164582,4736.6016941855,23624.7923408837,24875.9924802033,16133.4124103846,3027.72299269708
BTNr103,546.1116265544,1408.30856723143,7251.16254978482,8749.26326626815,7731.50470044993,1790.64928971127
BTNr104,95.4051338388515,237.512034048948,1191.08835710577,1538.29130069361,1682.14555076501,496.557623547811
BTNr105,351.243363624239,973.616981006063,4813.6274981714,4784.65042359615,2834.83189046574,428.02984313641
BTNr106,336.070222127902,866.655368610702,4462.27417674097,5384.1865039607,4757.87069112013,1101.9430374396
BTNr107,1017.53849937214,2625.33411361192,13569.9181334866,16350.3273239189,14451.1881889098,3249.6937407007
BTNr108,1084.71987883687,3046.57113134959,14318.3760553095,13558.2392626578,7677.50773663475,1141.58593521149
BTNr109,550.818026284344,1461.3351673048,7513.4044411855,9066.50305016125,7951.37771150785,1858.56160355626
BTNr110,592.102632322088,1557.4067016879,8055.36651025312,9099.29394421081,6819.75568656429,1433.07452496179
BTNr111,811.160480604931,2164.72439503451,11297.2523513339,13449.4196143249,11663.2846698922,2700.15848880957
BTNr112,1696.38150443629,4226.62762657587,21885.0012880918,26039.2710132243,22380.2710268373,5192.44754083446
BTNr113,1112.75398939328,2950.2121340641,14486.8264802267,14922.0858112338,9464.64036807712,1682.48121700496
BTNr114,3496.59126860173,10744.0062139165,39410.180971015,26762.5296636857,9274.31192813255,831.379954648495
BTNr115,1105.20738432046,2741.24903103992,14053.1024764571,17615.7837786644,17081.047491565,4330.60983795319
BTNr116,363.656675787343,915.491617032316,4728.39733169779,5842.09243085412,5403.51032483446,1256.85161979397
BTNr117,314.66535204952,839.739829713763,4382.42983148499,5217.29849887059,4524.42107875922,1047.44540912192
BTNr118,505.63990208054,1268.23023270545,6610.49926282224,7727.15220239873,6317.8931843818,1444.58521561124
BTNr119,609.542559636763,1572.67059329955,8128.87437502419,9794.44057799285,8656.78718190601,1946.68471214064
BTNr120,386.320845296503,996.739970607614,5151.98417275378,6207.60027905418,5486.56904885983,1233.78568342809
BWAr101,17949.6411562313,50074.5438688915,233911.014906637,220726.667177366,124112.2643004,18600.8685904735
BWAr102,1156.95541648782,3124.48640345967,15287.0680823987,15395.4461229049,9404.43484214924,1587.60913259959
BWAr103,1384.81284167496,3769.69543771694,18405.9495255995,18095.7746662729,10632.6126235291,1620.15490520655
BWAr104,3085.99573928733,9271.23066638633,39004.7583766525,31211.7540768056,13196.7928573032,1421.46828356511
BWAr105,9032.46862860017,24999.4283760035,115549.659603715,107150.846412597,57269.3179484895,7647.27903059539
BWAr106,5262.08077866591,16327.2509543631,67482.03173961,53265.7491539495,22314.5201385158,2354.3672348958
BWAr107,4034.94661881848,10955.1671896297,53769.0041912,53135.4894843764,31496.926863992,4771.46565198347
BWAr108,19958.1871765608,52818.4334865802,161690.981087038,93199.9329044326,29404.3608968656,2559.10444852252
BWAr109,6373.80705193113,17583.9358050857,81582.3467665589,75705.5401813404,41171.148535667,5560.22165941688
BWAr110,654.652092313227,1799.1235738545,8588.83184030548,8228.47202393109,4755.35163636975,722.568833225951
CAFr101,15158.3882213699,40309.9926273857,193096.370961778,264997.718817208,378077.233459043,156706.295913215
CAFr102,11388.2895821195,30284.3456962396,145070.660393099,199089.158848495,284044.250362199,117731.295117848
CAFr103,13323.03564339,35429.3253818586,169716.581694761,232912.233257187,332300.267269042,137732.556753762
CAFr104,5201.35612303175,13831.7229978471,66257.9013526866,90929.6877234068,129731.097034364,53771.2347686636
CAFr105,7421.97773829362,19736.9181697999,94545.4718334219,129750.415481981,185117.360045755,76727.8567307484
CAFr106,15774.7263987476,38654.0239732784,192755.310389565,249367.140606402,278045.690210522,88182.1084214855
CANr101,68124.0618815001,140882.324987764,232908.935172004,72712.0513001981,12187.5843734421,613.042285091297
CANr102,21271.5474821096,42675.4473608903,60474.6909052765,18746.3732379263,3091.4689268936,159.472086903748
CANr103,130956.308829325,264338.865947288,401459.862416177,121558.367671703,19842.9448880611,900.650247447189
CANr104,101124.881885405,206057.02259157,329014.292228822,98768.6607075244,16224.8542177503,754.288368927769
CANr105,1201741.4764329,2416379.75164564,3407055.0069192,1036240.09945461,165333.466085237,6728.19946241652
CANr106,2097360.97076172,4003682.71411882,5590637.57326091,1737064.24467279,309950.712689276,15118.7844964746
CANr107,180824.274911722,364639.476108601,550710.930000784,167425.140005015,27198.9843941973,1239.19457968065
CANr108,163077.753952448,328485.636859855,467080.833439228,144719.123873614,23665.8472373867,1234.80463746787
CANr109,642108.609835902,1218893.47658674,1682993.97010677,524082.26244137,94230.2319499318,4350.44907928439
CANr110,714051.221477696,1363062.71179796,1903345.03391481,591387.397298315,105523.411601047,5147.22391017175
CHEr101,238331.625379467,462094.631422509,633246.384963707,206790.812394735,37009.7692415987,1648.77659798359
CHEr102,277126.571334033,537313.084799764,736324.435312569,240451.634276771,43034.114500994,1917.15977586896
CHEr103,169524.45826556,328686.308141433,450425.956642029,147089.587417099,26324.9204599933,1172.76907388633
CHEr104,219478.771291784,425541.351315265,583154.410479559,190432.945466482,34082.1687680159,1518.35267889405
CHEr105,171005.033671265,335546.134057224,464674.361356058,151419.523412762,26876.9529790383,1264.99452365359
CHEr106,118722.239205867,230187.283287065,315444.619119309,103010.535238931,18436.0034882453,821.319660582938
CHEr107,53166.1834958275,103082.450461744,141262.38365322,46130.1695044659,8256.00958120511,367.803303537466
CHLr101,65524.7004198137,134367.000088696,230640.629556891,71917.6344177936,11075.922417692,577.113099113256
CHLr102,74261.5491589232,152440.560092498,264503.745215307,83132.3143821118,12952.5570377331,666.274113426498
CHLr103,34708.3059243851,71971.4320436083,138570.250603449,47378.6200897538,8637.21346359809,619.177875205852
CHLr104,59799.6011482933,132880.82061008,334388.687915905,152065.1355826,37805.3993055183,3272.3554376034
CHLr105,224304.76107477,460142.320090184,826601.115219393,267366.678480226,46368.6818454506,3059.4432899758
CHLr106,68768.2922914553,157675.921312486,424143.07229223,215559.549476768,58232.0466094669,4637.11801759415
CHLr107,48964.5093222272,140141.741491529,477813.81437956,305063.213928406,100819.450309763,8952.27056851533
