"country","GDLCODE","X1","X2","X3","X4","X5","X6","X7","X8"
"UnitedStates","USAr101",582003.552,994339.604,1781348.234,589945.018,109926.57,237020.367,232822.467,295733.135
"UnitedStates","USAr125",319490.732,563442.889,1013034.194,422438.352,93739.814,207266.321,166011.77,154713.445
"UnitedStates","USAr104",339708.934,638914.711,1131857.037,288458.415,99079.198,105348.572,157566.72,186132.572
"UnitedStates","USAr119",538319.452,845913.817,1569639.963,662240.989,110090.894,247363.416,308692.13,313231.24
"UnitedStates","USAr137",480024.68,859223.184,1527014.91,361851.73,70919.009,174349.148,170240.506,252241.015
"UnitedStates","USAr144",2507984.876,4835764.534,11513735.849,2616258.567,711919.247,1854760.443,1188114.602,2098841.537
"UnitedStates","USAr127",132221.087,260411.729,413748.342,81607.528,19163.396,36264.989,12751.842,61144.516
"UnitedStates","USAr113",171904.587,389511.377,781928.139,96309.65,20320.383,79983.716,34468.231,76004.05
"UnitedStates","USAr151",73744.448,142955.766,249081.518,44923.053,8603.793,15530.762,10658.754,27318.297
"UnitedStates","USAr106",724441.702,1098480.999,2124888.773,425712.993,55832.298,285681.676,226132.716,461261.886
"UnitedStates","USAr132",228883.36,429453.279,699914.747,237606.667,45481.067,117480.127,93219.107,184189.494
"UnitedStates","USAr103",721326.734,1456720.229,2501356.018,518293.27,147958.011,463836.863,364522.548,542361.39
"UnitedStates","USAr145",197898.212,493640.869,1574637.036,198201.934,26734.887,262131.141,89889.905,155940.147
"UnitedStates","USAr129",340240.853,538078.433,997894.223,253438.03,90029.084,224503.103,171034.489,232636.889
"UnitedStates","USAr148",745305.486,1598188.431,3048642.417,610660.122,176616.862,407096.339,183364.085,403383.859
"UnitedStates","USAr138",451400.346,965939.526,1550609.904,303613.82,77448.256,214246.741,135571.894,309926.903
"UnitedStates","USAr105",3409427.399,6363583.709,15731838.566,3169061.856,796152.513,3797557.773,1813535.888,3762025.143
"UnitedStates","USAr102",63999.371,130037.64,313724.221,56837.934,15272.469,60044.441,24817.424,40130.061
"UnitedStates","USAr112",108289.405,209689.458,479965.888,88654.022,37202.291,220975.9,109932.371,123212.342
"Uruguay","URYr101",112648,180558,599381,169993,22254,122487,103094,68244
"Uruguay","URYr102",20051,35676,147388,38339,6622,39691,25310,9930
"Uruguay","URYr103",55413,103682,411942,100834,12705,68011,48868,21364
"Uruguay","URYr104",22404,44344,168229,33025,5270,25473,18358,10181
"Uruguay","URYr105",9613,19050,70229,16666,3111,17725,10001,5551
"Uruguay","URYr106",11173,22066,75801,18461,2605,10079,10088,5162
"Uruguay","URYr107",14028,33568,148257,34572,4684,34910,26541,10365
"Vietnam","VNMr101",379602.79,1542527.32,8577342.09,804947.25,569027.09,6169024.01,2139182.46,235763.12
"Vietnam","VNMr102",135703.6,517387.93,6322264.08,458214.84,142603.36,4617781.46,832821.36,89205.75
"Vietnam","VNMr103",308667.71,1038304.75,8832946.27,802518.63,239716.12,5064813.45,1449120.5,174695.54
"Vietnam","VNMr104",55871.25,194519.6,3625233.38,264838.53,34633.83,1020874.31,354726.45,35559.07
"Vietnam","VNMr105",337096.95,836817.38,8405732.33,1073358.69,247519.11,3761857.22,1948566.86,791673.86
"Vietnam","VNMr106",228320.22,856330.35,7537349.91,623515.99,579008.64,5362403.33,1778968.61,521484.97
"Sweden","SWEr101",488693.769,508002.519,959767.375,235804.542,0,7344.073,4242.19,9708.847
"Sweden","SWEr102",382829.654,460807.401,607668.034,173529.042,0,2148.87,2601.959,4706.791
"Sweden","SWEr103",181205.175,257138.411,355257.772,41501.745,1256.999,1079.809,2513.665,6848.834
"Sweden","SWEr104",261284.917,374972.721,626756.37,172998.264,5617.509,13364.618,0,3570.692
"Sweden","SWEr105",415379.654,575899.526,800039.374,134046.903,4682.594,15192.006,3776.185,13410.689
"Sweden","SWEr106",176518.802,265115.824,321793.173,71002.092,0,0,0,0
"Sweden","SWEr107",77439.246,124660.53,138291.197,28110.394,4538.676,0,0,3826.442
"Sweden","SWEr108",105265.315,161255.104,197749.512,46527.134,0,0,0,2160.493
"UnitedKingdom","GBRr101",377602.82,647138.1,1079444.31,317631.58,0,29781.43,25317.32,107382.91
"UnitedKingdom","GBRr102",1002069.04,1663810.59,2886430.79,908427.78,71169.56,134166.59,100711.77,277905.99
"UnitedKingdom","GBRr103",655599.9,1400934.45,2241528.75,596960.88,52877.71,31941.42,89082.06,218865.6
"UnitedKingdom","GBRr104",527239.66,1267303.36,1954506.36,480050.19,49726.81,108405.86,81051.66,118162.84
"UnitedKingdom","GBRr105",682868.01,1297957.59,2581111.55,660387.31,55842.44,135729.02,66593.34,141471.31
"UnitedKingdom","GBRr106",685915.82,1571543.6,2675530.52,663878.52,45817.2,113114.19,70154.62,150696.81
"UnitedKingdom","GBRr107",1010988.26,1498666.47,3761580.92,1091585.5,89979.88,310017.57,163937.01,629578.93
"UnitedKingdom","GBRr108",1036254.53,2253671.93,4062903.48,820102.42,84655.98,278123.19,82098.62,150153.31
"UnitedKingdom","GBRr109",635970.81,1690619.29,2267589.75,513659.15,38174.16,92725.41,35315.53,73703.89
